Year,Title,Role,Notes
1978,Things We Did Last Summer,Paul Oberon,TV Movie
1979,Working Stiffs,Heimlich,3 episodes
1980,The Flintstone Comedy Hour,Freaky Frankenstone,"VoiceEpisode: \RV Fever/Birthday Boy/Clownfoot/Fred Goes Ape/Flying Mouse/Ghost-sitters\"""""
1980,Steve Martin: Comedy Is Not Pretty,Unnamed Terrorist,Reubens played an unnamed terrorist that shoplifted nuclear weapons fuel from a convenience store in a skit in this Steve Martin comedy special.
1980,Steve Martin: All Commercials,Multiple Roles,Reubens played multiple roles in multiple skits in this Steve Martin comedy special.
1981,Mork & Mindy,Dickie Nimitz,"Episode: \Long Before We Met\"""""
1981,The Pee-wee Herman Show,Pee-wee Herman,TV Movie
1982,Madame's Place,Pee-Wee Herman,"Episode: \Episode #1.34\"""""
1984,Faerie Tale Theatre,Pinocchio,"Episode: \Pinocchio\"""""
1985,Saturday Night Live,Pee-wee Herman,"HostEpisode: \Pee-wee Herman/Queen Ida & The Bon Temps Zydeco Band\"""""
1986–1990,Pee-wee's Playhouse,Pee-wee Herman,"Creator, writer, director of 3 episodesDaytime Emmy Award for Outstanding Achievement in Art Direction/Set Direction/Scenic Design (1988)Daytime Emmy Award for Outstanding Achievement in Graphics and Title Design (1991)Nominated - Daytime Emmy Award for Outstanding Performer in Children's Programming (1987, 1988, 1990, 1991)Nominated - Daytime Emmy Award for Outstanding Children's Series (1987, 1990, 1991)Nominated - Daytime Emmy Award for Outstanding Directing in Children's Programming (1988, 1990, 1991)Nominated - Daytime Emmy Award for Outstanding Achievement in Art Direction/Set Decoration/Scenic Design (1989, 1990, 1991)Nominated - Daytime Emmy Award for Outstanding Writing in a Children's Series (1987, 1988)"
