Year,Ring name(Birth name),Inducted by,Inducted for,Notes,Irrelevant_1,Extra_Data_2
2007,Gene Anderson,Bill Eadie,Wrestling,Posthumous induction; won the NWA World Tag Team Championship (Mid-Atlantic version) (7 times) and NWA Georgia Tag Team Championship (7 times),0WRnH1iz,782
2007,Ole Anderson(Alan Rogowski),Bill Eadie,Wrestling,Won the NWA Mid-Atlantic/Atlantic Coast Tag Team Championship (7 times) and NWA World Tag Team Championship (Mid-Atlantic version) (8 times),FvBGuAe1,828
2007,Penny Banner(Mary Ann Kostecki),Nickla Roberts,Women's wrestling,Won the NWA Women's World Tag Team Championship (1 time),DZ1q44o,422
2007,Bob Caudle,David Crockett,Announcing,Worked as commentator for Jim Crockett Promotions,N9VuC,655
2007,Swede Hanson(Robert Ford Hanson),Gary Hart,Wrestling,Posthumous induction; won the NWA Atlantic Coast Tag Team Championship (4 times) and NWA Southern Tag Team Championship (Mid-Atlantic version) (1 time),8Ba7mBr,830
2007,Rip Hawk(Harvey Evers),Gary Hart,Wrestling,Won the NWA Eastern States Heavyweight Championship (4 times) and NWA Mid-Atlantic/Atlantic Coast Tag Team Championship (5 times),HjWJkR,337
2007,George Scott,Tommy Young,Wrestling and Promoting,Won the NWA Southern Tag Team Championship (Mid-Atlantic version) (2 times) and worked as booker for Jim Crockett Promotions,h9uxW,148
2008,Paul Jones(Paul Frederick),Jack Brisco,Wrestling and Managing,"Won the NWA Mid-Atlantic Heavyweight Championship (3 times), NWA World Tag Team Championship (Mid-Atlantic version) (6 times), and NWA Mid-Atlantic/Atlantic Coast Tag Team Championship (6 times); managed Paul Jones' Army in Jim Crockett Promotions",GqtIarn,312
2008,Ivan Koloff(Oreal Perras),Don Kernodle,Wrestling,Won the NWA Mid-Atlantic Heavyweight Championship (3 times) and NWA World Tag Team Championship (Mid-Atlantic version) (4 times),4BNpoJtH,765
2008,Thunderbolt Patterson(Claude Patterson),Ole Anderson,Wrestling,Won the NWA Georgia Tag Team Championship (3 times) and NWA Atlantic Coast Tag Team Championship (1 time),yDwHI,225
2008,Buddy Roberts(Dale Hey),Jimmy Garvin and Michael Hayes,Wrestling,Won the NWA World Six-Man Tag Team Championship (Texas version) / WCWA World Six-Man Tag Team Championship (6 times) and NWA Mid-Atlantic Tag Team Championship (1 time),bshZKr,371
