Composer,Born,Died,Nationality,Notable works for piano,Remarks,Irrelevant_1,Irrelevant_2,Extra_Data_3
Isidor Philipp,1863,1958,"French, Hungarian",,,ugmce1z,ySdw7WrC,124
Francis Poulenc,1899,1963,French,,,jx2pgQ3,PbQN2Tz,988
Sergei Prokofiev,1891,1953,Russian,"Sonata No. 6 in A major, Op. 82 (1940)Sonata No. 7 in B-flat major, Op. 83 (1942)Sonata No. 8 in B-flat major, Op. 84 (1944)Visions fugitives, Op. 22 (1915–1917)Toccata in D minor, Op. 11 (1912)",,28LGW,gVRtlgI,596
Sergei Rachmaninoff,1873,1943,Russian,,Romantic,EiJdv,IX6MImR,242
Maurice Ravel,1875,1937,French,Gaspard de la nuit (1908)Le tombeau de Couperin (1914–1917)Jeux d'eau (1901),Impressionist; sometimes jazz-influenced,hmXOE6Of,ZXlMatD,455
Vladimir Rebikov,1866,1920,Russian,,"Impressionist, Romantic",hzDnYzS,6630I,739
Emmanuel Rhené-Baton,1879,1940,French,,,3jJkqn5O,PetbZp,227
Jean Roger-Ducasse,1873,1954,French,,,r3eETSG,W6h3ZqvM,378
Erik Satie,1866,1925,French,,Impressionist; Minimalist (precursor),gnJwzs,k5pQKE2e,492
Ahmed Adnan Saygun,1907,1991,Turkish,,"Neoclassical, traditional Turkish folksong influence",0oTB5g,nlowq0,495
