Composer,Born,Died,Nationality,Notable works for piano,Remarks
Florent Schmitt,1870,1958,French,,"Impressionist, Late-Romantic"
Arnold Schoenberg,1874,1951,"Austrian, American","Drei Klavierstücke, Op. 11Fünf Klavierstücke, Op. 23Sechs Kleine Klavierstücke, Op. 19Suite für Klavier, Op. 25","Serial (mature/late career), Late-Romantic (early career)"
James Scott,1885,1938,"American, African-American",,Ragtime
Alexander Scriabin,1872,1915,Russian,10 piano sonatas,"Late-Romantic (early); Atonal, Mystical (mature)"
Dmitri Shostakovich,1906,1975,"Russian, Soviet","Piano Sonata No. 1, Op. 12 (1926)24 Preludes, Op. 34 (1932–1933)Piano Sonata No. 2 in B minor, Op. 61 (1943)24 Preludes and Fugues, Op. 87 (1950–1951)",Post-Romantic; neoclassical; elements of grotesque
Jean Sibelius,1865,1957,Finnish,"Sonata in F major, Op. 12Three Sonatinas, Op. 67",Late-Romantic; post-Romantic
Kaikhosru Shapurji Sorabji,1892,1988,English,"Opus clavicembalisticumÉtudes transcendantes (100)Sequentia cyclica super \Dies irae\"" ex Missa pro defunctis",
Piano Symphony No. 2,,,,,
"\""Gulistān\""—Nocturne for Piano""","Neoclassical, neoromantic, postimpressionistic",,,,
Alexei Stanchinsky,1888,1914,Russian,,"Post-Romantic, modal"
