Composer,Born,Died,Nationality,Notable works for piano,Remarks,Noise_Field_1
Mikalojus Konstantinas Čiurlionis,1875,1911,Lithuanian,Piano Sonata in F majorNocturne in C-sharp minorNocturne in F minorImpromptu in F-sharp minor,,JZWOhQ
Claude Debussy,1862,1918,French,"Études, L 136Préludes (L 117 and L 123)Suite bergamasque, L 75Deux arabesques, L 66",Impressionist,eVMLt
Duke Ellington,1899,1974,American,,Jazz,RIIHaBU
Samuil Feinberg,1890,1962,Russian,,,fXkPsQMb
Ossip Gabrilowitsch,1878,1936,"Russian, American",,,knUwm
George Gershwin,1898,1937,American,Three PreludesGeorge Gershwin's Songbook,Jazz-influenced,WqqBE
Alberto Ginastera,1916,1983,Argentine,,Earlier works often integrate Argentine folk themes; later works increasingly abstracted,dGQfZ
Alexander Glazunov,1865,1936,Russian,,Romantic,IbuqYFv
Leopold Godowsky,1870,1938,"Polish, American",Studies on Chopin's Études (1894–1914),,sEVZbGUn
Percy Grainger,1882,1961,"Australian, English, American",,,WZTpg
Enrique Granados,1867,1916,Spanish,,Distinctly Spanish,AfOmdWg
