Composer,Born,Died,Nationality,Notable works for piano,Remarks
Federico Mompou,1893,1987,"Catalan, Spanish",,
Thelonious Monk,1917,1982,American,,Jazz
Nikolai Myaskovsky,1881,1950,"Russian, Soviet",,
Ernesto Nazareth,1863,1934,Brazilian,,"Eclectic influences; primarily dance music (tangos, waltzes, polkas, etc.), influenced by African and Argentine styles"
Walter Niemann,1876,1953,German,,Impressionist and exotic influences
Ignacy Jan Paderewski,1860,1941,Polish,,
Jacobo Palm,1887,1982,Curaçao-born,,
John Palm,1885,1925,Curaçao-born,,
Rudolph Palm,1880,1950,Curaçao-born,,
Selim Palmgren,1878,1951,Finnish,,
