Composer,Born,Died,Nationality,Notable works for piano,Remarks
Scott Joplin,1867,1917,American,,Ragtime
Dmitri Kabalevsky,1904,1987,"Russian, Soviet",,
Aram Khachaturian,1903,1978,"Soviet, Armenian",,
Viktor Kosenko,1896,1938,Ukrainian,,
Joseph Lamb,1887,1960,American,,Ragtime
Constant Lambert,1905,1951,English,Piano Sonata (1928–1929)Suite in 3 Movements (1925)Elegiac Blues (1927),
Ernesto Lecuona,1895,1963,Cuban,,
Nikolai Medtner,1880,1951,Russian,,
Erkki Melartin,1875,1937,Finnish,,
Olivier Messiaen,1906,1992,French,Vingt regards sur l'enfant-Jésus (1944)Quatre études de rythme (1949–1950)Catalogue d'oiseaux (1956–1958),
