Composer,Born,Died,Nationality,Notable works for piano,Remarks
Roy Agnew,1891,1944,Australian,,
Theodore Akimenko (ru),1876,1945,"Russian, Ukrainian",IMSLP,
Malcolm Arnold,1921,2006,English,"Sonata for Piano (1942)Variations on a Ukrainian Folk Song, Op. 9",
Willem Andriessen,1887,1964,Dutch,,
Béla Bartók,1881,1945,Hungarian,"Mikrokosmos, Sz. 107, BB 105Out of Doors, Sz. 81, BB 89Romanian Folk Dances, Sz. 56, BB 68Allegro barbaro, Sz. 49, BB 63","Folksong-influenced, Centric, Modal, Polymodal/Polytonal"
Arnold Bax,1883,1953,English,"Piano Sonata No. 1 (1910, 1917–1920)Piano Sonata No. 2 (1919)Piano Sonata in E-flat (1921)Piano Sonata No. 3 (1926)Piano Sonata No. 4 (1932)","Romantic, Impressionist"
York Bowen,1884,1961,English,,Romantic
Frank Bridge,1879,1941,English,,"Late-Romantic, hints of Second Viennese School"
Ferruccio Busoni,1866,1924,Italian,Fantasia contrappuntistica (1910),"Mature works of indeterminate key; Late in career, neoclassical"
Alfredo Casella,1883,1947,Italian,,
Cécile Chaminade,1857,1944,French,,
