Team,Year,Regular SeasonWon,Regular SeasonLost,Regular SeasonWin %,Regular SeasonFinish,PostseasonWon,PostseasonLost,PostseasonWin %,PostseasonResult,Random_Column_1
CLE,1991,32,53,.376,7th in AL East,-,-,-,-,raFnbPq
CLE,1992,76,86,.469,5th in AL East,-,-,-,-,cKBU8e5
CLE,1993,76,86,.469,6th in AL East,-,-,-,-,QlNCn
CLE,1994,66,47,.584,2nd in AL Central,,,,no MLB postseason,MdWx1EgX
CLE,1995,100,44,.694,1st in AL Central,9,6,.600,Lost WS to ATL,hW5h0tc
CLE,1996,99,62,.615,1st in AL Central,1,3,.250,Lost LDS to BAL,NV8uqj
CLE,1997,86,75,.534,1st in AL Central,10,8,.556,Lost WS to FLA,1JX3tTp
CLE,1998,89,73,.549,1st in AL Central,5,5,.500,Lost LCS to NYY,IskJWTt
CLE,1999,97,65,.599,1st in AL Central,2,3,.400,Lost LDS to BOS,LxsAK
BAL,2000,74,88,.457,4th in AL East,,,,,jjNgGb
