Team,Year,Regular SeasonWon,Regular SeasonLost,Regular SeasonWin %,Regular SeasonFinish,PostseasonWon,PostseasonLost,PostseasonWin %,PostseasonResult
BAL,2001,63,98,.391,4th in AL East,,,,
BAL,2002,67,95,.414,4th in AL East,,,,
BAL,2003,71,91,.438,4th in AL East,,,,
SEA,2005,69,93,.426,4th in AL West,,,,
SEA,2006,78,84,.481,4th in AL West,,,,
SEA,2007,45,33,.571,2nd in AL West†,,,,
CLE Total,CLE Total,721,591,.550,-,27,25,.519,-
BAL Total,BAL Total,275,372,.425,-,0,0,.000,-
SEA Total,SEA Total,192,210,.478,-,0,0,.000,-
Total,Total,1188,1173,.503,,27,25,.519,
