Pos,Rider,Manufacturer,Time/Retired,Points,Extra_Data_1,Noise_Field_2,Filler_3
Ret,Ismael Bonilla,Honda,Retirement,,126,AfDxT,EqrPgdjp
Ret,Daniel Ribalta,Aprilia,Retirement,,761,ITqGnlf,mRwCxgTU
Ret,Maurice Bolwerk,Honda,Retirement,,442,GjxAGsr,OYUliNXW
Ret,Tomomi Manako,Yamaha,Retirement,,987,WmDtc,WppJupi
Ret,Johann Stigefelt,Yamaha,Retirement,,658,cCNTGf,ccQdd
Ret,Olivier Jacque,Yamaha,Retirement,,507,QLmNbHQo,PYkChW
Ret,Jeremy McWilliams,Aprilia,Retirement,,948,pXXlnT,wFOxTHVU
Ret,David Ortega,TSR-Honda,Retirement,,327,NaKyyzpZ,wqTRxW
Ret,Alfredo Rios,Aprilia,Retirement,,79,tHjQzxeN,ZKwYVCP
Ret,Ralf Waldmann,Aprilia,Retirement,,392,BQbQYng,cRMKbRw
