Pos,Rider,Manufacturer,Time/Retired,Points,Filler_1
1,Tohru Ukawa,Honda,49:50.449,25,vVfasI
2,Franco Battaini,Aprilia,+5.125,20,jhrTxVZ
3,Loris Capirossi,Honda,+10.224,16,nBwhTVW
4,Shinya Nakano,Yamaha,+14.848,13,vaVUhlKL
5,Stefano Perugini,Honda,+34.042,11,VjKgxR
6,Sebastian Porto,Yamaha,+37.495,10,ecQWVmD
7,Jason Vincent,Honda,+44.911,9,BzbPRUaP
8,Valentino Rossi,Aprilia,+1:01.110,8,xSIyCh
9,Anthony West,TSR-Honda,+1:10.352,7,CNLuA
10,Alex Hofmann,TSR-Honda,+1:18.683,6,PoTDYp
11,Luca Boscoscuro,TSR-Honda,+1:20.847,5,yEGYlbCa
