Edition,Year,Men's winner,Time,Women's winner,Time,Irrelevant_1,Random_Column_2
30th,"October 13, 2013",Yemane Tsegay (ETH),2:09:11,Ruth Wanjiru (KEN),2:34:48,Ah9d7Byf,5GWGedmf
29th,"October 14, 2012",Dickson Kiptolo Chumba (KEN),2:05:46,Aberume Mekuria (ETH),2:27:20,thNBA,z4xVPb
28th,"October 9, 2011",Jafred Chirchir Kipchumba (KEN),2:05:48,Georgina Rono (KEN),2:24:33,w6Rpj,XfKzvDQq
27th,"October 10, 2010",Charles Kamathi (KEN),2:07:38,Atsede Habtamu (ETH),2:25:35,RyghiDCw,B2fxjY
26th,"October 11, 2009",Geoffrey Mutai (KEN),2:07:01,Beata Naigambo (NAM),2:31:01,vKGlrLF,8oU94kR
25th,"October 12, 2008",Geoffrey Mutai (KEN),2:07:49,Lydia Kurgat (KEN),2:33:39,lje1V,3S4bKg
24th,"October 14, 2007",Philip Singoei (KEN),2:07:57,Lydia Kurgat (KEN),2:39:21,S705WQN,9HMusXM
23rd,"October 8, 2006",Philip Singoei (KEN),2:08:18,Agnes Hijman (NED),2:54:36,ib6gZYgB,aF5tZ
22nd,"October 9, 2005",Boniface Usisivu (KEN),2:08:45,Tatyana Perepelkina (RUS),2:38:27,uWIzhQm,UzPt3
21st,"October 10, 2004",Willy Cheruiyot (KEN),2:09:20,Annelieke van der Sluijs (NED),2:37:33,jxw3Wz,H3oCwVUl
20th,"October 12, 2003",Willy Cheruiyot (KEN),2:09:05,Vivian Ruijters (NED),2:36:36,wA9WmZ,Ydjh3aAd
