Edition,Year,Men's winner,Time,Women's winner,Time,Irrelevant_1
19th,"October 13, 2002",Willy Cheruiyot (KEN),2:10:12,Marleen van Reusel (BEL),2:54:23,GK0eC96
18th,"October 14, 2001",Samuel Tangus (KEN),2:12:47,Valentina Poltavskaya (RUS),2:54:30,h3YiE
17th,"October 8, 2000",Willy Cheruiyot (KEN),2:09:55,Wilma van Onna (NED),2:39:55,BoK4s
16th,"October 10, 1999",David Ngetich (KEN),2:09:24,Nadezhda Wijenberg (NED),2:28:45,3L3Q6J
15th,"October 11, 1998",Grzegorz Gajdus (POL),2:10:51,Simona Staicu (ROU),2:36:05,OguXJt
14th,"October 12, 1997",John Kiprono (KEN),2:11:51,Mieke Hombergen (NED),2:36:14,2MJUz02
13th,"October 13, 1996",Tumo Turbo (ETH),2:11:26,Simona Staicu (ROU),2:37:47,dZ8wPiJ
12th,"October 8, 1995",Pyotro Sarafinyuk (UKR),2:16:40,Carla Beurskens (NED),2:35:16,ImHL8o
11th,"October 9, 1994",Aiduna Aitnafa (ETH),2:11:37,Jeanne Jansen (NED),2:45:03,FPMP3
10th,"October 10, 1993",Mohamed Kamel Selmi (ALG),2:12:47,Liesbeth van Ast (NED),2:40:57,mJMhK
