Year,Title,Role,Notes,Irrelevant_1,Dummy_Col_2,Noise_Field_3
1994,Baywatch,Kim,"Episode: \Red Wind\""""",xAQfNRn,RkrZFE,WxzIai
1995,Pointman,Brenner,"Episode: \Models\""""",WMRuLC,amJlG,WfOeHVq
1995,The Watcher,Lori Danforth,8 episodes,gOMmTpx,geWdfMoK,pAtftwuX
1995–96,Murder One,Julie Costello,15 episodes,xLD1p,lvuKCpH,cRqefAR
1996,The X-Files,Dr. Bambi Berenbaum,"Episode: \War of the Coprophages\""""",ihSGt6YF,TNFKls,NMKPpvXs
1996,Boy Meets World,Louanne,"Episode: \I Never Sang for My Legal Guardian\""""",lx2qs0,imtnLLi,aDTLJJ
1996–97,The Cape,Navy Pilot Lt. Cmdr. Barbara De Santos,17 episodes,LkXCP,lhuzouq,ZFTHlD
1997,Stargate SG-1,Kynthia,"Episode: \Brief Candle\""""",VBJKjPf,vDOiJ,UFXUFrj
1998,House Rules,Dr. Chris Cavanaugh,"Episode: \Riley's New Job\""""",XP5CTB,SgfVhsYL,PPIAmEHl
1998,Chameleon,Kam,Movie,vlrnzd,nTnjJ,cDAvlOL
1998,Two Guys and a Girl,Shawn,Episode: \Two Guys,D17GF,hFusF,CJEqsaON
1999,Two Guys and a Girl,Shawn,Episode: \Two Guys,K85J8,caxFd,KZNsc
