Year,Title,Role,Notes,Random_Column_1
1999,Chameleon II: Death Match,Kam,Movie,Tx1H94Hf
1999,The Magnificent Seven,,"Episode: \Wagon Train: Part 1\""",NsOjNz
"Episode: \""Wagon Train: Part 2\""""",,,,0k2ZQx
1999,The Crow: Stairway to Heaven,Hannah Foster / Talon,"Episode: \Birds of a Feather\""",PLbm8vss
"Episode: \""The Road Not Taken\""""",,,,UQ2djP
1999,The Strip,Lilly Briscoe,"Episode: \Winner Takes It All\""""",HkSuR
2000,Two Guys and a Girl,Shawn,"Episode: \Another Moving Script\""""",OV25kx
2000,Hustle,Maya / Corinna,M<vie,5kDrSaY
2000,Chameleon 3: Dark Angel,Kam,Movie,j41BpRR
2001,Seven Days,Raven,"Episode: \Raven\""""",5aSgYQ
2001,Dharma & Greg,Anna,"Episode: \Dream a Little Dream of Her\""""",y9d6Hq
