Year,Title,Role,Notes
1991,They Came from Outer Space,Mrs. Morley,Episode: \Hair Today
1991,Parker Lewis Can't Lose,Melinda,"Episode: \Love Handles\"""""
1991,Married... with Children,Jill,"Episode: \If Al Had a Hammer\"""""
1992,Married... with Children,Kara,"Episode: \The Mystery of Skull Island\"""""
1992,Matlock,Lisa Loomis,"Episode: \The Big Payoff\"""""
1992,Silk Stalkings,Tessa Shaver,"Episode: \Goodtime Charlie\"""""
1992,Dark Justice,Lucy,"Episode: \A Better Mousetrap\"""""
1992,Baywatch,Lifeguard,"Episode: \War of Nerves\"""""
1993,The Cover Girl Murders,Hetty Barnett,Movie
1994,Red Shoe Diaries,Luscious Lola,"Episode: \Luscious Lola\"""""
1994,Honor Thy Father and Mother: The True Story of the Menendez Murders,Jamie Pisarcik,Movie
1994,Fortune Hunter,Kelly Owen,"Episode: \Stowaway\"""""
