Site name,Reason for designationBiological interest,Reason for designationGeological interest,AreaHectares,AreaAcres,Coordinates & Grid ref,Year in which notified,Other designations,Map & Citation
"Long Dale, Hartington",,,53.5,132.1,53°09′04″N 1°47′42″W﻿ / ﻿53.151°N 1.795°W    SK138616,1997,SAC,Map
Longstone Moor,,,106.8,264.0,53°15′36″N 1°42′50″W﻿ / ﻿53.26°N 1.714°W    SK192737,1990,"SM, NP",Map
Lower Hollins,,,5.4,13.2,53°21′50″N 1°48′07″W﻿ / ﻿53.364°N 1.802°W    SK133852,2011,,Map
Lower Peaslows Farm Meadow,,,0.7,1.7,53°19′23″N 1°52′59″W﻿ / ﻿53.323°N 1.883°W    SK079807,2005,,Map
Ludworth Intake,,,5.3,13.0,53°24′58″N 2°00′36″W﻿ / ﻿53.416°N 2.01°W    SJ994910,1998,GCR,Map
Masson Hill,,,76.1,188.0,53°07′26″N 1°34′01″W﻿ / ﻿53.124°N 1.567°W    SK291586,1989,GCR,Map
Matley Moor Meadows,,,3.3,8.0,53°24′07″N 1°57′54″W﻿ / ﻿53.402°N 1.965°W    SK024895,2011,,Map
Matlock Woods,,,19.0,46.9,53°06′43″N 1°33′40″W﻿ / ﻿53.112°N 1.561°W    SK295573,1981,SAC,Map
Mercaston Marsh and Muggington Bottoms,,,14.3,35.4,52°59′06″N 1°36′04″W﻿ / ﻿52.985°N 1.601°W    SK269432,1990,,Map
Monk's Dale,,,105.5,260.8,53°15′43″N 1°47′56″W﻿ / ﻿53.262°N 1.799°W    SK135739,1955,"NNR, NP, NCR, SAC",Map
