Site name,Reason for designationBiological interest,Reason for designationGeological interest,AreaHectares,AreaAcres,Coordinates & Grid ref,Year in which notified,Other designations,Map & Citation
Fall Hill Quarry,,,4.1,10.2,53°09′29″N 1°28′26″W﻿ / ﻿53.158°N 1.474°W    SK353624,1990,GCR,Map
Fox Hole Cave,,,0.2,0.4,53°11′31″N 1°51′11″W﻿ / ﻿53.192°N 1.853°W    SK099661,1986,GCR,Map
Gang Mine,,,8.3,20.5,53°05′53″N 1°34′26″W﻿ / ﻿53.098°N 1.574°W    SK286557,1988,"NCR, SAC",Map
"Ginny Spring, Whitwell Wood",,,4.0,9.9,53°18′18″N 1°13′23″W﻿ / ﻿53.305°N 1.223°W    SK519789,1963,,Map
Goyt Valley,,,"1,332.6","3,292.9",53°16′05″N 1°57′32″W﻿ / ﻿53.268°N 1.959°W    SK028746,1951,"SPA, SAC",Map
Green Lane Pits,,,6.6,16.2,53°09′36″N 1°45′18″W﻿ / ﻿53.16°N 1.755°W    SK165626,1986,GCR,Map
Hallam Barn Grasslands,,,5.1,12.7,53°20′49″N 1°43′08″W﻿ / ﻿53.347°N 1.719°W    SK188834,2011,,Map
Harewood Grange Stream Section,,,5.9,14.5,53°12′43″N 1°32′13″W﻿ / ﻿53.212°N 1.537°W    SK310684,1963,"GCR, NP",Map
Hilton Gravel Pits,,,31.2,77.0,52°52′44″N 1°37′52″W﻿ / ﻿52.879°N 1.631°W    SK249314,1981,"GCR, WT",Map
Hipley Hill,,,22.1,54.6,53°05′24″N 1°40′59″W﻿ / ﻿53.09°N 1.683°W    SK213548,1963,,Map
