Site name,Reason for designationBiological interest,Reason for designationGeological interest,AreaHectares,AreaAcres,Coordinates & Grid ref,Year in which notified,Other designations,Map & Citation,Random_Column_1
Hollinhill and Markland Grips,,,19.9,49.1,53°16′08″N 1°14′17″W﻿ / ﻿53.269°N 1.238°W    SK509749,1963,,Map,qOe5W
Hulland Moss,,,2.8,6.8,53°00′43″N 1°37′44″W﻿ / ﻿53.012°N 1.629°W    SK250461,1981,,Map,n3Dktbu
Hurdlow Meadows,,,11.3,27.9,53°11′46″N 1°48′50″W﻿ / ﻿53.196°N 1.814°W    SK125666,2005,,Map,qipL4qI
Jumble Coppice,,,0.7,1.8,53°14′42″N 1°36′00″W﻿ / ﻿53.245°N 1.6°W    SK268721,1985,GCR,Map,3W1Xf
Kedleston Park,,,93.5,231.1,52°58′01″N 1°32′17″W﻿ / ﻿52.967°N 1.538°W    SK311412,1996,,Map,Jqp5ZKx
Kirkham's Silica Sandpit,,,30.4,75.0,53°05′02″N 1°40′44″W﻿ / ﻿53.084°N 1.679°W    SK216541,1992,GCR,Map,oW5X5
Lathkill Dale,,,273.7,676.3,53°11′06″N 1°44′28″W﻿ / ﻿53.185°N 1.741°W    SK174653,1954,"GCR, NNR, NP, NCR, SAC",Map,dsPn5Ck
"Lee Farm Meadow, Tideswell",,,1.5,3.7,53°18′11″N 1°48′29″W﻿ / ﻿53.303°N 1.808°W    SK129785,1986,NP,Map,7lOszca
Leek Moors,,,"3,970.8","9,812.2",53°10′52″N 1°59′10″W﻿ / ﻿53.181°N 1.986°W    SK010649,1954,"SPA, ESA, GCR, NP, SAC",Map,HtjQNZ
Long Dale & Gratton Dale,,,80.6,199.2,53°08′17″N 1°41′53″W﻿ / ﻿53.138°N 1.698°W    SK203601,1965,"NNR, NP, NCR, SAC",Map,d4Hl2Nq
