Site name,Reason for designationBiological interest,Reason for designationGeological interest,AreaHectares,AreaAcres,Coordinates & Grid ref,Year in which notified,Other designations,Map & Citation
Abney & Bretton Cloughs,,,147.8,365.3,53°18′29″N 1°41′20″W﻿ / ﻿53.308°N 1.689°W    SK208790,1972,NP,Map
Ambergate and Ridgeway Quarries,,,1.0,2.5,53°03′29″N 1°28′01″W﻿ / ﻿53.058°N 1.467°W    SK358513,1963,GCR,Map
Attenborough Gravel Pits,,,226.6,559.9,52°53′56″N 1°13′41″W﻿ / ﻿52.899°N 1.228°W    SK520338,1982,WT,Map
Bage Mine,,,0.1,0.3,53°05′28″N 1°34′01″W﻿ / ﻿53.091°N 1.567°W    SK291549,1985,GCR,Map
Baileycroft Quarry,,,0.9,2.1,53°05′06″N 1°34′26″W﻿ / ﻿53.085°N 1.574°W    SK286543,1985,GCR,Map
Ballidon Dale,,,50.8,125.6,53°06′04″N 1°41′49″W﻿ / ﻿53.101°N 1.697°W    SK204560,1996,"NP, SAC",Map
Bee's Nest and Green Clay Pits,,,15.0,37.0,53°05′13″N 1°38′35″W﻿ / ﻿53.087°N 1.643°W    SK240545,1990,"GCR, SAC",Map
Benty Grange,,,21.1,52.0,53°10′26″N 1°46′55″W﻿ / ﻿53.174°N 1.782°W    SK146641,2012,,Map
Bonsall Leys,,,15.4,38.2,53°06′47″N 1°36′22″W﻿ / ﻿53.113°N 1.606°W    SK265574,1993,,Map
Boulton Moor,,,3.9,9.7,52°52′52″N 1°26′13″W﻿ / ﻿52.881°N 1.437°W    SK380316,1992,GCR,Map
