Site name,Reason for designationBiological interest,Reason for designationGeological interest,AreaHectares,AreaAcres,Coordinates & Grid ref,Year in which notified,Other designations,Map & Citation,Extra_Data_1
Chrome and Parkhouse Hills,,,30.7,75.9,53°12′07″N 1°53′42″W﻿ / ﻿53.202°N 1.895°W    SK071672,1951,"NP, RIGS",Map,636
Clough Woods,,,109.4,270.4,53°09′04″N 1°37′19″W﻿ / ﻿53.151°N 1.622°W    SK254616,1964,"SM, NP",Map,88
Colehill Quarries,,,11.3,27.9,53°05′31″N 1°34′26″W﻿ / ﻿53.092°N 1.574°W    SK286551,1985,GCR,Map,502
Combs Reservoir,,,32.0,79.1,53°18′43″N 1°56′38″W﻿ / ﻿53.312°N 1.944°W    SK038794,1986,,Map,165
Coombs Dale,,,86.0,212.4,53°15′50″N 1°40′12″W﻿ / ﻿53.264°N 1.67°W    SK221742,1954,"NP, NCR, SAC",Map,832
Crabtree Wood,,,3.5,8.7,53°18′04″N 1°15′58″W﻿ / ﻿53.301°N 1.266°W    SK490785,1981,,Map,254
Cressbrook Dale,,,120.4,297.6,53°15′47″N 1°44′17″W﻿ / ﻿53.263°N 1.738°W    SK176740,1954,"GCR, NNR, NP, NCR, SAC",Map,683
Creswell Crags,,,19.5,48.1,53°15′43″N 1°12′04″W﻿ / ﻿53.262°N 1.201°W    SK534742,1981,"SM, GCR",Map,536
Cromford Canal,,,10.2,25.1,53°05′49″N 1°31′05″W﻿ / ﻿53.097°N 1.518°W    SK324556,1981,"LNR, WT",Map,115
Dale Quarry,,,2.0,4.9,53°04′59″N 1°34′48″W﻿ / ﻿53.083°N 1.58°W    SK282541,1998,GCR,Map,954
