Site name,Reason for designationBiological interest,Reason for designationGeological interest,AreaHectares,AreaAcres,Coordinates & Grid ref,Year in which notified,Other designations,Map & Citation
Portway Mine,,,4.2,10.5,53°19′37″N 1°48′32″W﻿ / ﻿53.327°N 1.809°W    SK128811,1990,GCR,Map
River Derwent at Hathersage,,,7.9,19.4,53°19′48″N 1°40′23″W﻿ / ﻿53.33°N 1.673°W    SK219815,1992,,Map
River Mease,,,22.9,56.5,52°42′18″N 1°35′35″W﻿ / ﻿52.705°N 1.593°W    SK276120,2000,SAC,Map
Rose End Meadows,,,48.4,119.7,53°06′25″N 1°35′28″W﻿ / ﻿53.107°N 1.591°W    SK275567,1996,,Map
Rowlee Bridge,,,1.0,2.4,53°23′56″N 1°46′55″W﻿ / ﻿53.399°N 1.782°W    SK146891,1986,GCR,Map
Shining Cliff Woods,,,119.3,294.9,53°04′30″N 1°30′14″W﻿ / ﻿53.075°N 1.504°W    SK333532,1954,,Map
South Lee Meadows,,,2.2,5.3,53°20′10″N 1°44′46″W﻿ / ﻿53.336°N 1.746°W    SK170821,2011,,Map
Stoney Middleton Dale,,,71.3,176.2,53°16′52″N 1°40′59″W﻿ / ﻿53.281°N 1.683°W    SK212761,1972,GCR,Map
Teversal To Pleasley Railway,,,5.0,12.4,53°09′54″N 1°16′19″W﻿ / ﻿53.165°N 1.272°W    SK488633,1982,"LNR, WT",Map
The Wye Valley,,,595.0,"1,470.3",53°14′17″N 1°43′01″W﻿ / ﻿53.238°N 1.717°W    SK190713,1954,"GCR, WT, NP, NCR, SAC",Map
