Site name,Reason for designationBiological interest,Reason for designationGeological interest,AreaHectares,AreaAcres,Coordinates & Grid ref,Year in which notified,Other designations,Map & Citation
Dark Peak,,,"31,852.9","78,708.4",53°26′N 1°41′W﻿ / ﻿53.44°N 1.69°W    SK207937,1951,"SPA, GCR, NP, NT, NCR, SAC",Map
Dimminsdale,,,37.0,91.4,52°47′28″N 1°26′38″W﻿ / ﻿52.791°N 1.444°W    SK376216,1981,WT,Map
Dirtlow Rake and Pindale,,,23.2,57.4,53°20′10″N 1°46′08″W﻿ / ﻿53.336°N 1.769°W    SK155821,1990,GCR,Map
Doe Lea Stream Section,,,0.1,0.3,53°13′05″N 1°18′50″W﻿ / ﻿53.218°N 1.314°W    SK459692,1988,"GCR, LNR",Map
Dove Valley and Biggin Dale,,,691.5,"1,708.8",53°03′47″N 1°47′02″W﻿ / ﻿53.063°N 1.784°W    SK146518,1954,"GCR, NNR, NCR, SAC",Map
Dovedale Wood,,,13.4,33.2,53°09′47″N 1°18′22″W﻿ / ﻿53.163°N 1.306°W    SK465631,1982,NT,Map
Duchy Quarry,,,2.4,5.8,53°17′13″N 1°51′43″W﻿ / ﻿53.287°N 1.862°W    SK093767,1985,GCR,Map
Duckmanton Railway Cutting,,,3.8,9.4,53°13′41″N 1°22′05″W﻿ / ﻿53.228°N 1.368°W    SK423703,1974,GCR,Map
Eastern Peak District Moors,,,"8,193.4","20,246.2",53°12′14″N 1°32′53″W﻿ / ﻿53.204°N 1.548°W    SK303675,1964,"SM, SPA, ESA, GCR, WT, NP, NT, SAC",Map
Edale,,,15.0,37.0,53°21′54″N 1°51′25″W﻿ / ﻿53.365°N 1.857°W    SK096854,1966,"GCR, National Trust",Map
