Site name,Reason for designationBiological interest,Reason for designationGeological interest,AreaHectares,AreaAcres,Coordinates & Grid ref,Year in which notified,Other designations,Map & Citation
Morley Brick Pits,,,1.8,4.4,52°58′16″N 1°25′26″W﻿ / ﻿52.971°N 1.424°W    SK388417,1963,,Map
Moss Valley,,,26.1,64.5,53°18′58″N 1°22′26″W﻿ / ﻿53.316°N 1.374°W    SK418801,1951,,Map
Moss Valley Meadows,,,17.9,44.2,53°20′02″N 1°25′23″W﻿ / ﻿53.334°N 1.423°W    SK385820,1990,,Map
Moss Valley Woods,,,17.9,44.2,53°19′01″N 1°26′42″W﻿ / ﻿53.317°N 1.445°W    SK371801,1993,,Map
Mount Pleasant,,,3.0,7.3,53°01′19″N 1°34′52″W﻿ / ﻿53.022°N 1.581°W    SK282473,2011,,Map
Ogston Reservoir,,,95.9,237.0,53°08′10″N 1°26′31″W﻿ / ﻿53.136°N 1.442°W    SK374600,1963,,Map
Oxlow Rake,,,6.0,14.9,53°19′08″N 1°48′32″W﻿ / ﻿53.319°N 1.809°W    SK128803,1992,,Map
Parwich Moor,,,15.8,38.9,53°07′01″N 1°44′28″W﻿ / ﻿53.117°N 1.741°W    SK174578,1965,NP,Map
Pleasley Vale Railway,,,3.5,8.7,53°10′41″N 1°13′23″W﻿ / ﻿53.178°N 1.223°W    SK520648,1981,LNR,Map
Poole's Cavern and Grin Low Wood,,,41.5,102.6,53°14′49″N 1°55′37″W﻿ / ﻿53.247°N 1.927°W    SK050722,1963,GCR,Map
