Date,Opponent,Score,Result,Record,Extra_Data_1,Noise_Field_2
June 21,Sacramento,60-70,Loss,0-1,918,GNiYqEa
June 23,Los Angeles,102-89,Win,1-1,617,XrevcZBc
June 26,@ Cleveland,63-74,Loss,1-2,678,FinZhX
June 28,Houston,58-76,Loss,1-3,594,lsPHjS
July 2,@ Sacramento,73-68 (OT),Win,2-3,624,IiMFW
July 3,Phoenix,55-77,Loss,2-4,569,EosNiSqg
July 5,New York,53-66,Loss,2-5,601,bfbfv
July 7,Sacramento,69-79,Loss,2-6,948,xSeYBY
July 11,@ Los Angeles,68-75,Loss,2-7,493,dJzls
July 12,Phoenix,52-51,Win,3-7,433,alwdrntu
July 14,@ Houston,56-79,Loss,3-8,238,drDFWUZD
July 16,@ Charlotte,63-75,Loss,3-9,497,UdCgRxNw
July 17,@ New York,54-80,Loss,3-10,594,WVAYwxGg
July 19,@ Cleveland,68-95,Loss,3-11,309,VwJho
