Date,Opponent,Score,Result,Record
July 22,@ New York,78-71,Win,4-11
July 26,Cleveland,66-77,Loss,4-12
July 30,@ Los Angeles,69-91,Loss,4-13
August 2,Houston,74-63,Win,5-13
August 4,Charlotte,73-70,Win,6-13
August 6,@ Phoenix,46-78,Loss,6-14
August 8,@ Sacramento,78-93,Loss,6-15
August 11,Cleveland,59-74,Loss,6-16
August 12,@ Houston,56-76,Loss,6-17
August 16,Los Angeles,64-74,Loss,6-18
August 17,@ Phoenix,63-71 (OT),Loss,6-19
August 19,New York,81-75,Win,7-19
August 21,Charlotte,56-66,Loss,7-20
August 24,@ Charlotte,52-70,Loss,7-21
