Rank,Athlete,Country,Time,Notes,Dummy_Col_1
14,Sarah Docter,United States,1:28.80,,YJYcdo
14,Haitske Valentijn-Pijlman,Netherlands,1:28.80,,rldhML
16,Erwina Ryś-Ferens,Poland,1:28.82,,AsLFcT
17,Miyoshi Kato,Japan,1:28.97,,AjeueoY
18,Christa Rothenburger,East Germany,1:29.69,,rxiRfJWA
19,Brenda Webster,Canada,1:29.84,,NTDGCJG
20,Irina Kuleshova-Kovrova,Soviet Union,1:29.94,,ghuelfdU
21,Monika Pflug,West Germany,1:30.13,,htSFLP
22,Makiko Nagaya,Japan,1:30.27,,vSFfHd
23,Sigrid Smuda,West Germany,1:30.29,,btlRJ
24,Kathy Vogt,Canada,1:30.33,,EboMfQM
25,Yuko Yaegashi-Ota,Japan,1:30.72,,QIoGbfKv
