Rank,Athlete,Country,Time,Notes,Irrelevant_1,Noise_Field_2
26,Lee Nam-Sun,South Korea,1:31.30,,suH2hSF,xGZSR
27,Cao Guifeng,China,1:31.74,,2CJtKXcs,sEoEs
28,Anneli Repola,Finland,1:31.76,,BhJnYmq,jZuTomu
29,Silvia Brunner,Switzerland,1:31.79,,ZzIt1,TkrwlGN
30,Lee Seong-Ae,South Korea,1:32.04,,fsKAX0AM,CmlgKW
31,Zhang Li,China,1:32.20,,XzejSfz,WWCts
32,Shen Zhenshu,China,1:32.49,,8EZoKdb,zhhlDS
33,Brigitte Flierl,West Germany,1:33.61,,uxsHSA,juIYnr
34,Kim Yeong-Hui,South Korea,1:34.17,,QKihAlwt,HfgEnqS
35,Kim Ferran,Great Britain,1:34.19,,A741d,wFkRI
36,Marzia Peretti,Italy,1:35.66,,M7eLm45,TwafrJ
37,Mandy Horsepool,Great Britain,1:36.31,,csH5WEmz,DORNexSp
