Rank,Athlete,Country,Time,Notes
,Nataliya Petrusyova,Soviet Union,1:24.10,OR
,Leah Poulos,United States,1:25.41,
,Sylvia Albrecht,East Germany,1:26.46,
4,Karin Enke,East Germany,1:26.66,
5,Beth Heiden,United States,1:27.01,
6,Annie Borckink,Netherlands,1:27.24,
7,Sylvia Burka,Canada,1:27.50,
8,Ann-Sofie Järnström,Sweden,1:28.10,
9,Sylvia Filipsson,Sweden,1:28.18,
10,Annette Carlén-Karlsson,Sweden,1:28.25,
11,Valentina Lalenkova,Soviet Union,1:28.27,
12,Bjørg Eva Jensen,Norway,1:28.55,
13,Sijtje van der Lende,Netherlands,1:28.72,
