Species,Country of origin,Total released,First release,Last release,Areas of release,Areas established,Pasture type,Irrelevant_1,Dummy_Col_2
Onitis pecuarius Lansberge,South Africa,"11,395",November 1976,May 1979,"NSW, QLD","NSW, QLD",Summer rainfall,1vjENPwb,UOkjJKoW
Onitis vanderkelleni Lansberge,"Kenya, Rwanda, Zaire","10,852",October 1974,February 1982,"NSW, QLD",QLD,Summer rainfall,QE2nEtuC,kfDAjDMy
Onitis viridulus Bohemann,South Africa,"8,008",September 1976,July 1980,"NSW, NT, QLD","NSW, NT, QLD, WA",Summer rainfall,cxRmPS,vFQDdX
Onthophagus binodis Thunberg,South Africa,"173,018",October 1971,February 1982,"NSW, QLD, SA, Tas, Vic, WA, Norfolk Islands","NSW, QLD, SA, Tas, Vic, WA, Norfolk Islands",Winter rainfall,ZsSZiLm,IuNzTTQm
Onthophagus gazella Fabricius,South Africa,"420,415",February 1968,February 1984,"ACT, NSW, NT, QLD, SA, Tas, Vic, WA, Norfolk Islands","ACT, NSW, NT, QLD, SA, WA, Norfolk Islands",Summer rainfall,FeWeMkhP,XNYST
Onthophagus nigiventris d'Orbigny,East Africa,"29,960",May 1975,March 1983,NSW,NSW,Summer rainfall,sKJ8l,KmPiaHAA
Onthophagus obliquus,"Nigeria, Senegal, Zaire","9,300",January 1976,November 1977,"QLD, NT",QLD,Summer rainfall,UvYNX2B,DmKUH
Onthophagus sagittarius,Sri Lanka (via Hawaii),"9,075",January 1968,March 1977,"NSW, NT, QLD, WA","NSW, NT",Summer rainfall,EdAhrgo,CtyZXr
Onthophagus taurus Schreber,"Spain, Greece, Italy, Turkey","164,499",February 1975,January 1984,"NSW, SA, Tas, Vic, WA","NSW, SA, Tas, Vic, WA",Winter rainfall,O16sQ,zHtCmN
Sisyphus rubrus Paschalidis,South Africa,"85,933",March 1973,February 1980,"NSW, QLD, WA","NSW, QLD",Summer rainfall,b4gss2lS,HRdHaot
Sisyphus spinipes,South Africa,"36,125",March 1972,December 1978,"NSW, NT, QLD, WA","NSW, QLD",Summer rainfall,HfQ6D,XkQOrS
,Total:,"1,680,399",,,,,,TiHLu,KBGnux
