Rnd,Circuit,LMP1 Winning TeamLMP1 Winning Drivers,LMP2 Winning TeamLMP2 Winning Drivers,GT1 Winning TeamGT1 Winning Drivers,GT2 Winning TeamGT2 Winning Drivers,Results
1,Sebring,#2 Audi Sport North America,#37 Intersport Racing,#4 Corvette Racing,#50 Multimatic Motorsports,Results
1,Sebring,Rinaldo Capello Tom Kristensen Allan McNish,Clint Field Liz Halliday Jon Field,Oliver Gavin Olivier Beretta Jan Magnussen,Scott Maxwell David Brabham Sébastien Bourdais,Results
2,Reliant Park,#2 Audi Sport North America,#37 Intersport Racing,#4 Corvette Racing,#23 Alex Job Racing,Results
2,Reliant Park,Allan McNish Rinaldo Capello,Clint Field Liz Halliday,Oliver Gavin Olivier Beretta,Mike Rockenfeller Klaus Graf,Results
3,Mid-Ohio,#2 Audi Sport North America,#7 Penske Racing,#4 Corvette Racing,#45 Flying Lizard Motorsports,Results
3,Mid-Ohio,Allan McNish Rinaldo Capello,Timo Bernhard Romain Dumas,Oliver Gavin Olivier Beretta,Johannes van Overbeek Wolf Henzler,Results
4,Lime Rock,#2 Audi Sport North America,#7 Penske Racing,#009 Aston Martin Racing,#31 Petersen/White Lightning,Results
4,Lime Rock,Allan McNish Rinaldo Capello,Timo Bernhard Romain Dumas,Stéphane Sarrazin Pedro Lamy,Jörg Bergmeister Patrick Long,Results
5,Miller,#1 Audi Sport North America,#6 Penske Racing,#007 Aston Martin Racing,#62 Risi Competizione,Results
5,Miller,Frank Biela Emanuele Pirro,Sascha Maassen Lucas Luhr,Darren Turner Tomáš Enge,Jaime Melo Mika Salo,Results
