Rnd,Circuit,LMP1 Winning TeamLMP1 Winning Drivers,LMP2 Winning TeamLMP2 Winning Drivers,GT1 Winning TeamGT1 Winning Drivers,GT2 Winning TeamGT2 Winning Drivers,Results,Dummy_Col_1,Unused_2,Extra_Data_3
6,Portland,#2 Audi Sport North America,#37 Intersport Racing,#4 Corvette Racing,#62 Risi Competizione,Results,PDfDLc,,849
6,Portland,Allan McNish Rinaldo Capello,Clint Field Liz Halliday,Oliver Gavin Olivier Beretta,Jaime Melo Mika Salo,Results,RzGPzks,,904
7,Road America,#1 Audi Sport North America,#6 Penske Racing,#3 Corvette Racing,#31 Petersen/White Lightning,Results,gzxJgOwx,,250
7,Road America,Frank Biela Emanuele Pirro,Sascha Maassen Timo Bernhard,Ron Fellows Johnny O'Connell,Jörg Bergmeister Patrick Long Michael Petersen,Results,WAwhVcTS,,160
8,Mosport,#2 Audi Sport North America,#7 Penske Racing,#009 Aston Martin Racing,#62 Risi Competizione,Results,DApMv,,658
8,Mosport,Allan McNish Rinaldo Capello,Lucas Luhr Romain Dumas,Stéphane Sarrazin Pedro Lamy,Stephane Ortelli Johnny Mowlem,Results,iARKU,,665
9,Road Atlanta,#2 Audi Sport North America,#6 Penske Racing,#007 Aston Martin Racing,#31 Petersen/White Lightning,Results,pbwVk,,922
9,Road Atlanta,Allan McNish Rinaldo Capello,Sascha Maassen Timo Bernhard Emmanuel Collard,Tomáš Enge Darren Turner,Jörg Bergmeister Patrick Long Niclas Jönsson,Results,euFNi,,640
10,Mazda Raceway Laguna Seca,#2 Audi Sport North America,#7 Penske Racing,#009 Aston Martin Racing,#62 Risi Competizione,Results,CuyJtut,,899
10,Mazda Raceway Laguna Seca,Allan McNish Rinaldo Capello,Lucas Luhr Romain Dumas,Stéphane Sarrazin Pedro Lamy,Mika Salo Stephane Ortelli,Results,VaiByfh,,900
