Year,Place,Gold,Silver,Bronze,Unused_1,Irrelevant_2,Extra_Data_3
1962,Cairo,Mercedes Mata (VEN),Marjorie Annan (USA),Elena Shebashova (URS),,oLIQWk8,283
1966,Wiesbaden,Claudia Smirnova (URS),Mercedes Garcia (VEN),Michele Valery (FRA),,qJYTpV,752
1967,Bologna,Larisa Gurvich (URS),Claudia Smirnova (URS),Mirella Lenzini (ITA),,zQsQHU,988
1969,San Sebastian,Nuria Ortiz (MEX),Larisa Gurvich (URS),Elena Shebashova (URS),,txUGk9O,977
1970,Phoenix,Larissa Korchinskaya (URS),Nuria Ortiz (MEX),Kari Linden (NOR),,PoXLFK,216
1971,Bologna,Nuria Ortiz (MEX),Larissa Korchinskaya (URS),Kari Linden (NOR),,HUgTY,130
1974,Bern,Larissa Korchinskaya (URS),Saskia Brixner (FRG),Evior Melander (SWE),,nsusVyL,553
1975,Munich,Larisa Gurvich (URS),Pinky Le Grelle (BEL),Ruth Jordan (FRG),,DUzNC5,771
1977,Antibes,Ruth Jordan (FRG),Ila Hill (USA),Bianca Rosa Hansberg (ITA),,HFP97jA6,880
1978,Seoul,Bianca Rosa Hansberg (ITA),Terry Bankey (USA),Ruth Jordan (FRG),,OswXpcA6,655
1979,Montecatini Terme,Bianca Rosa Hansberg (ITA),Larisa Gurvich (URS),Svetlana Yakimova (URS),,XEneWu,908
