,Name on the Register,Date listed,Location,City or town,Summary,Filler_1,Extra_Data_2
25,Ferry Street – Thorofare Canal Bridge,"February 18, 2000(#00000118)",Ferry St. over Thorofare Canal42°08′17″N 83°09′23″W﻿ / ﻿42.138056°N 83.156389°W,Grosse Ile,"The Ferry Street-Thorofare Canal Bridge is a good representative example of a continuous concrete slab, used by the Wayne County Road Commission during World War II and immediately after, presumably due to the difficulty of obtaining steel.",HyAilydl,499
26,First United Methodist Church,"August 3, 1982(#82002918)",16300 Woodward Ave.42°24′55″N 83°06′11″W﻿ / ﻿42.415278°N 83.103056°W,Highland Park,"In 1868, a frame chapel for interdenominational services was built behind where the First United Methodist Church currently stands. The site went through different hands, and in 1916, the Methodist congregation built the present Gothic church. In 1956, the original frame chapel behind the present church was demolished. Since 1995, Soul Harvest Ministries has operated from the building.",bnGOhIMJ,845
27,John and Edna Truesdell Fischer Farmstead,"June 2, 2000(#00000617)",4896–5228 S. Sheldon Rd. (Canton Township)42°16′10″N 83°28′36″W﻿ / ﻿42.269444°N 83.476667°W,Sheldon,"This farmstead includes an 1897 Queen Anne house built by the children of German immigrants, as well as a 1945 ranch house, 18 greenhouses, a boiler house, a modern garage, and the remnants of a barn and silo.",qzwHyZre,795
28,Ford River Rouge Complex,"June 2, 1978(#78001516)",3001 Miller Rd.42°18′08″N 83°09′52″W﻿ / ﻿42.302222°N 83.164444°W,Dearborn,"This complex is a Ford Motor Company automobile factory complex located along the Rouge River. Construction on the plant began in 1917, and when it was completed in 1928 it had become the largest integrated factory in the world. The Rouge measures 1.5 miles (2.4 km) wide by 1 mile (1.6 km) long, including 93 buildings with nearly 16 million square feet (1.5 km2) of factory floor space.",QWuhMzC,358
29,Ford Valve Plant,"August 1, 1995(#95000866)",235 E. Main St.42°25′56″N 83°28′40″W﻿ / ﻿42.432222°N 83.477778°W,Northville,"The Ford Valve Plant was the first of Henry Ford's \Village Industries\"" factories",WLtlBkYD,766
30,Henry Ford Square House,"November 25, 1980(#80001932)",29835 Beechwood Ave.42°19′37″N 83°20′07″W﻿ / ﻿42.326944°N 83.335278°W,Garden City,"The Henry Ford Square House (also known as the Henry Ford Honeymoon House) is a four-room house built by hand by Henry Ford soon after his marriage, using timber cut on the property and finished in the sawmill he operated. Henry's wife Clara drew the plans for the house, and the couple moved in during June 1889, 14 months after they were married.",CpikpE,905
31,Ford-Bacon House,"December 1, 1997(#97001476)",45 Vinewood42°12′26″N 83°08′54″W﻿ / ﻿42.207222°N 83.148333°W,Wyandotte,"In 1897, Edward Ford (also the builder of the George P. MacNichol House across the street) hired Malcomson & Higginbotham to design this house for himself and his wife Carrie. Ford lived in the house only a short time, and in 1902, his daughter Mary Ford Bacon and her husband Mark R. Bacon moved in, residing in the house until 1942. The house is now used as the Bacon Memorial District Library.",XylCSC,77
32,Gibraltar Road – Waterway Canal Bridge,"February 10, 2000(#00000082)",Gibraltar Rd. over Waterway Canal42°05′42″N 83°11′26″W﻿ / ﻿42.095°N 83.190556°W,Gibraltar,"The Gibraltar Road Bridge is an unusual reinforced-concrete cantilevered-arch bridge. After construction, the Wayne County Road Commissioners noted that \this low sweeping arch bridge is in keeping with its surroundings and is one of the features which make Gibraltar Road so attractive.\""""",leqBAsdS,62
33,Grace Evangelical Lutheran Church,"August 3, 1982(#82002919)",12375 Woodward Ave.42°23′52″N 83°05′32″W﻿ / ﻿42.397778°N 83.092222°W,Highland Park,"Grace Evangelical Lutheran Church was originally a mission on the west side of Detroit, and the congregation worshipped in built a frame Victorian Gothic chapel (built for the Highland Park Presbyterian Church congregation) one block south of the current site. The present cathedral was built from 1929 to 1930, and was used by the congregation until 1979, when the Grace Evangelical congregation sold their church building to an Apostolic African-American congregation, the Prayer Temple of Love Cathedral.",VluyekvR,126
34,Greenfield Village and Henry Ford Museum,"October 20, 1969(#69000071)","Bounded by Michigan Ave. on the N, Village Rd. on the S, Southfield Expwy. on the E, and Oakland Blvd. on the W42°18′16″N 83°13′30″W﻿ / ﻿42.304444°N 83.225°W",Dearborn,"The Henry Ford is the nation's \largest indoor-outdoor history museum\"" complex. Named for its founder",dnfgglYB,371
35,Greenmead Farms,"March 24, 1972(#72000672)",38125 Base Line Rd.42°26′17″N 83°25′05″W﻿ / ﻿42.438056°N 83.418056°W,Livonia,"Greenmead Farms was originally the farm of Joshua Simmons, who moved to the property in 1825. The farm includes the 1829 North Barn (the first barn built in Livonia) and an 1841 Greek Revival farmhouse. Additional structures, including four mid-19th-century farmhouses, have been moved to the property as the surrounding area has been developed.",VmXaib,489
