,Name on the Register,Date listed,Location,City or town,Summary
58,John and Eliza Barr Patterson House,"June 9, 2000(#00000647)",6205 N. Ridge Rd.42°19′34″N 83°31′40″W﻿ / ﻿42.326111°N 83.527778°W,Canton,"In 1844, John Patterson married Eliza Barr; the couple purchased another plot of land and built this Greek Revival house. The farm remained in the family until 1999. The grounds still contain rose, daylily, and peony plantings that date from the late 19th and early 20th centuries."
59,Redford Township District No. 5 School,"March 28, 1997(#97000279)",18499 Beech Daly Rd.42°25′28″N 83°17′50″W﻿ / ﻿42.424444°N 83.297222°W,Redford,"This school was built using stock plans available free of charge from the state superintendent of public instruction, and is a rare surviving unremodeled example of a school featuring every detail of the original plans. It is still used as the John C. Raeside Administration Building of the Redford Union School District."
60,Pere Gabriel Richard Elementary School,"July 22, 1994(#94000752)",176 McKinley Ave.42°23′43″N 82°54′18″W﻿ / ﻿42.395278°N 82.905°W,Grosse Pointe Farms,"This school, named for Father Gabriel Richard (1767–1832), was designed by Robert O. Derrick in the French Renaissance style. It first opened its doors in September 1930, with a population of 389 students."
61,Rosedale Gardens Historic District,"July 19, 2010(#10000478)",Arden St. to Hubbard St. between Plymouth Rd. and West Chicago St.42°21′54″N 83°21′29″W﻿ / ﻿42.365°N 83.358056°W,Livonia,"Rosedale Gardens was platted by the Shelden Land Company in the 1920s. The company modeled the development on Rosedale Park in Detroit. The first wood-sided houses were built in 1925. When the Great Depression hit, construction stopped for a time; the developer bricked over existing homes, and continued with brick construction when building resumed later in the 1930s."
62,STE. CLAIRE (steamer),"November 2, 1979(#79001177)",Ecorse waterfront42°15′37″N 83°07′26″W﻿ / ﻿42.260278°N 83.123889°W,Ecorse,
63,St. Florian Historic District,"September 13, 1984(#84001865)","Roughly bounded by Joseph Campau Ave., Holbrook Ave., Dequindre, Norwalk, Lumpkin, and Yemans Sts.42°23′41″N 83°03′42″W﻿ / ﻿42.394722°N 83.061667°W",Hamtramck,"In the early part of the 20th century, the Roman Catholic Archdiocese of Detroit recognized the need for a church to serve Polish residents, of Hamtramck, many of whom flocked to the city to work at the Dodge automotive factory. St. Florian parish was established in 1907, and a church was consecrated in 1909. As the parish grew, congregants amassed over $500,000 to build a second, grander church. This one was consecrated on October 21, 1928."
64,St. James Episcopal Church,"November 19, 1971(#71000434)",25150 E. River Rd.42°07′29″N 83°08′33″W﻿ / ﻿42.124722°N 83.1425°W,Grosse Ile,"St. James Episcopal Church was constructed in 1867. Funds to build the church came primarily from the estate of Lisette Denison Forth, a freed slave who had willed the builk of her savings to the purpose of constructing an Episcopalian house of worship. The red doors of the structure are dedicated to the memory and benevolence of Lisette Denison Forth."
65,Saint Paul Catholic Church Complex,"June 17, 1994(#94000621)",157 Lake Shore Dr.42°23′41″N 82°53′37″W﻿ / ﻿42.394722°N 82.893611°W,Grosse Pointe Farms,"The St. Paul Roman Catholic parish was the first Cathoic parish in the Grosse Pointes, organized in 1835 but with roots back to the 1790s. The present church building, the third for the parish, was designed by Harry J. Rill and was completed in 1899[2] at a cost of just over $23,000. The church is constructed of brick and stone, and is designed in the French Gothic Revival style, an unusual class of architecture in the Detroit area."
66,Carl E. and Alice Candler Schmidt House,"August 24, 2005(#05000909)",301 Lake Shore Rd.42°24′18″N 82°53′18″W﻿ / ﻿42.405°N 82.888333°W,Grosse Pointe Farms,"Carl E. Schmidt was a tanner with a succssful Detroit business; he was also a close friend and political advisor to Hazen Pingree, who served as both mayor of Detroit and governor of Michigan. Schmidt and his wife Alice built this Shingle-style house in 1909."
67,Sheldon Inn,"June 2, 2000(#00000618)",44134 Michigan Ave. (Canton Township)42°16′31″N 83°28′28″W﻿ / ﻿42.275278°N 83.474444°W,Sheldon,"The Sheldon Inn is a two-story Greek Revival apartment building, previously used as a single-family home and a travelers' inn. The Inn was built by Timothy and Rachel Sheldon, one of the very first families to settle in Canton Township, in 1825."
68,George and Mary Pine Smith House,"June 2, 2000(#00000619)",3704 S. Sheldon Rd. (Canton Township)42°16′47″N 83°28′37″W﻿ / ﻿42.279722°N 83.476944°W,Sheldon,"The land this house sits on was first farmed by William Smith of England, who purchased 80 acres (320,000 m2) of land in 1830. William Smith and his wife Mary Collins Smith raised seven children on this farm, establishing a long line of Smiths farming in Canton Township. William's grandson George Smith Jr. married Mary Pine, and in 1904, George Jr. and Mary Smith spent $2,058.76 to build the house that now sits on the property. Although the present acreage is small, outbuildings on the property give the feel of the old farmstead and the wooded edges isolate the house from the surrounding modern developments."
