,Name on the Register,Date listed,Location,City or town,Summary
47,Charles J. and Ingrid V. (Frendberg) Koebel House,"December 8, 2009(#09001068)",203 Cloverly Road42°24′17″N 82°53′57″W﻿ / ﻿42.404606°N 82.899186°W,Grosse Pointe Farms,"This Modernist house was the first commission for the father-and-son firm of Eliel and Eero Saarinen. The house integrates the exterior architecture, sculpture, interior design, lighting, and furnishings."
48,Lilley Road – Lower Rouge River Bridge,"February 10, 2000(#00000078)",Lilley Rd. over Lower Rouge R.42°16′46″N 83°27′24″W﻿ / ﻿42.279444°N 83.456667°W,Canton Township,"This bridge was originally built in 1923–1924 for installation where Telegraph Road crossed a branch of the Rouge River just north of Warren Road. However, Telegraph Road was soon widened, and the bridge was removed and in 1933 installed at the Lilley Road crossing of the Lower Rouge River."
49,Lincoln Park Post Office,"February 4, 2004(#03001551)",1335 Southfield Rd.42°15′01″N 83°10′44″W﻿ / ﻿42.250278°N 83.178889°W,Lincoln Park,"The design of this 1938 building, created by supervising architect of the treasury Louis A. Simon, was used for a number of other Depression-era post offices in the state of Michigan."
50,George P. MacNichol House,"May 24, 1984(#84001859)",2610 Biddle Ave.42°12′27″N 83°08′56″W﻿ / ﻿42.2075°N 83.148889°W,Wyandotte,"In 1896, Edward Ford (also the builder of the Ford-Bacon House across the street) hired Malcomson & Higginbotham to design this home as wedding gift for his daughter Laura on her marriage to George P. MacNichol. The house is currently used as the Wyandotte Historical Museum."
51,Marx House,"August 13, 1976(#76001043)",2630 Biddle Ave.42°12′26″N 83°08′56″W﻿ / ﻿42.207222°N 83.148889°W,Wyandotte,"The Marx House was built in approximately 1862 for Warren Isham. In the next 60 years, the house went through six owners, including Charles W. Thomas, Wyandotte's first druggist, and Dr. Theophilus Langlois, a prominent physician who served as Wyandotte's mayor for two terms and contributed to other civic projects in the city. In 1921, the house was purchased by John Marx, the city attorney and scion of a local brewery owner."
52,Medbury's-Grove Lawn Subdivisions Historic District,"February 8, 1988(#88000049)","Roughly bounded by Hamilton Ave., the alley south of Louise Ave., Woodward Ave., and the alley south of Puritan Ave.42°24′46″N 83°06′28″W﻿ / ﻿42.412778°N 83.107778°W",Highland Park,"Medbury's-Grove Lawn Subdivisions Historic District is a residential historic district, built up primarily in the 1910s and 1920s. It features a variety of architectural styles that were popular at the time. Bungalows and bungalow-style houses with Craftsman or colonial details predominate, and, in fact, the neighborhood is significant for containing Michigan's most outstanding collection of single-family bungalows and bungalow-style homes. However, foursquare, colonial revival, and English cottage homes are also present within the neighborhood."
53,Mellus Newspapers Building,"July 20, 2005(#05000716)",1661 Fort St.42°15′06″N 83°10′31″W﻿ / ﻿42.251667°N 83.175278°W,Lincoln Park,"In 1941, William S. Mellus constructed this building to house his Lincoln Parker newspaper. The company remained in the building until a 1986 merger with Heritage Newspapers. The building was eventually purchased by the Lincoln Park Downtown Development Authority, and was demolished on May 13, 2010."
54,Northville Historic District,"July 31, 1972(#72000673)","Bounded roughly by Cady, Rogers, and Randolph Sts.42°25′54″N 83°29′03″W﻿ / ﻿42.431667°N 83.484167°W",Northville,"This district is located in the heart of old Northville, and is primarily residential, although the 73 contributing structures include several commercial buildings and a church. The majority of district consists of Gothic Revival houses constructed between 1860 and 1880."
55,Norwayne Historic District,"July 9, 2013(#13000479)","Generally bounded by Palmer, Wildwood, Glenwood & Merriman Rds., Wayne County Lower Rouge Pkwy.42°17′32″N 83°21′55″W﻿ / ﻿42.292228°N 83.365140°W",Westland,"The Norwayne subdivision was originally built in 1942 by the National Housing Agency to house workers employed at nearby defense industry plants, including the Willow Run Bomber Plant. The project originally had 1189 residential buildings, a Management Office, a fire station, a church, two elementary schools, and several commercial properties. Streets in the subdivision are primarily curvilinear, following the Federal Housing Administration guidelines published in the late 1930s."
56,Palmer Park Boulevard Apartments District,"January 22, 1992(#91001983)","1981, 2003 and 2025 W. McNichols Rd.42°25′02″N 83°07′15″W﻿ / ﻿42.417222°N 83.120833°W",Highland Park,"The Palmer Park Boulevard Apartments District is a collection of three apartment building located at 1981, 2003 and 2025 West McNichols Road. These three adjacent buildings were all built in the same time period (the mid-1920s), all were designed by the same architect (Richard H. Marr), and all share a uniform height, setback, and general plan."
57,Parke Lane Road – Thorofare Canal Bridge,"February 4, 2000(#00000043)",Parke Lane Rd. over Thorofare Ch.42°10′05″N 83°08′38″W﻿ / ﻿42.168056°N 83.143889°W,Grosse Ile,"The Parke Lane Road-Thorofare Canal Bridge is of a rare cantilevered concrete arch design. The traditional arch bridge design requires a complete arch. In contrast, the cantilevered arch design is divided into two structurally independent half-arches which are each cantilevered from one side with a slab suspended between the two cantilevered sections."
