,Name on the Register,Date listed,Location,City or town,Summary
69,South Pointe Drive – Frenchman's Creek Bridge,"February 18, 2000(#00000117)",South Pointe Dr. over Frenchman's Creek42°06′09″N 83°10′20″W﻿ / ﻿42.1025°N 83.172222°W,Grosse Ile,"This bridge designed is a 40-foot (12 m) concrete T-beam bridge, completed in 1939 using labor from the Works Progress Administration."
70,William B. and Mary Chase Stratton House,"May 24, 1984(#84001867)",938 Three Mile Dr.42°22′43″N 82°55′24″W﻿ / ﻿42.378611°N 82.923333°W,Grosse Pointe Park,"The William B. and Mary Chase Stratton House was built in 1927 as a collaborative venture between husband-and-wife William Buck Stratton (an architect) and Mary Chase Perry Stratton (a ceramicist and founder of Pewabic Pottery). The house design was heavily influenced by the Arts and Crafts Movement, and the Strattons used natural material, texture, and color to create an original and masterly composition."
71,Trinity United Methodist Church,"August 3, 1982(#82002921)",13100 Woodward Ave.42°24′05″N 83°05′37″W﻿ / ﻿42.401389°N 83.093611°W,Highland Park,Trinity United Methodist was built by the Cass United Methodist Church of Detroit as a mission church to serve membership in Highland Park who lived too far to travel the eight miles (13 km) to Cass United. It is now known as the New Mt. Moriah Baptist Church.
72,Ephraim and Emma Woodworth Truesdell House,"April 2, 2003(#03000174)",1224 Haggerty Rd.42°17′56″N 83°26′54″W﻿ / ﻿42.298889°N 83.448333°W,Canton,"The structure is significant as one of the most finely crafted houses in the township, as well as its association with one of the most important families in the area."
73,US 12 Bridges,"February 4, 2000(#00000041)",US 12 over I-94 and westbound I-94 ramp42°19′35″N 83°09′39″W﻿ / ﻿42.326389°N 83.160833°W,Dearborn,The US 12 Bridges are two bridges carrying US 12 over Interstate 94 and the westbound I-94 ramp. The bridges were constructed in 1948-49 as part of the \Crosstown Expressway
74,Carlton D. Wall House,"June 28, 1994(#94000620)",12305 Beck Rd.42°22′16″N 83°30′42″W﻿ / ﻿42.371111°N 83.511667°W,Plymouth,The Carlton D. Wall House is an elaborate Usonian home designed by Frank Lloyd Wright in 1941. It is built as a series of hexagons radiating from a central space.
75,Waltz Road – Huron River Bridge,"February 10, 2000(#00000081)",Waltz Rd. over Huron R.42°09′40″N 83°24′10″W﻿ / ﻿42.161111°N 83.402778°W,Huron Township,"The Waltz Road – Huron River Bridge was constructed in 1924 by the Wayne County Road Commission replacing a previous footbridge that had been erected over the Huron River to allow local children to attend school. The span consists of two identical seven-panel, camelback Pratt pony trusses with sidewalks attached to the outside of each truss."
76,West Jefferson Avenue – Rouge River Bridge,"February 10, 2000(#00000079)",W. Jefferson Ave. over Rouge R.42°16′50″N 83°07′44″W﻿ / ﻿42.280556°N 83.128889°W,River Rouge,"Built in 1922, this \Chicago city type of single trunnion"
77,Wilson Barn,"December 12, 1973(#73000962)",NE corner of Middlebelt and W. Chicago Rds.42°21′53″N 83°19′55″W﻿ / ﻿42.364722°N 83.331944°W,Livonia,"This barn was originally constructed by Ira Wilson in 1888; in 1919 the barn burned and he built the present structure on the foundations of the earlier barn. Wilson eventually established a million-dollar dairy, creamery, and trucking business, the Ira Wilson & Sons Dairy, and served for two terms as Wayne County sheriff."
78,John T. Woodhouse House,"July 20, 2005(#05000715)",33 Old Brook Ln.42°24′24″N 82°53′18″W﻿ / ﻿42.406667°N 82.888333°W,Grosse Pointe Farms,The John T. Woodhouse House is a private house designed by George D. Mason.
79,Wyandotte Odd Fellows Temple,"July 16, 2009(#09000527)",81 Chestnut St.42°12′19″N 83°08′58″W﻿ / ﻿42.205144°N 83.149517°W,Wyandotte,"The Wyandotte Odd Fellows Temple was built in 1911 by the Wyandotte chapter of the Independent Order of Odd Fellows, a fraternal organization. In 1943, the building was purchased by the Fraternal Order of Free and Accepted Masons. The Masons used the building for over 50 years, after which it was used as a church; in 2008 the city of Wyandotte purchased the building to preserve the structure."
