,Name on the Register,Date listed,Location,City or town,Summary
36,Grosse Pointe High School,"May 20, 1993(#93000429)",11 Grosse Pointe Blvd.42°23′27″N 82°54′08″W﻿ / ﻿42.390833°N 82.902222°W,Grosse Pointe Farms,"Grosse Pointe South was added to the Register for its significance in architecture, art, and education. The school anchors one of Grosse Pointe's most historically significant neighborhoods, the Beverly Road Historic District. Grosse Pointe Memorial Presbyterian Church, Christ Church Grosse Pointe, and Richard Elementary School are all within two blocks of the school."
37,Grosse Pointe Memorial Church,"December 6, 1993(#93001351)",16 Lake Shore Dr.42°23′20″N 82°53′58″W﻿ / ﻿42.388889°N 82.899444°W,Grosse Pointe Farms,"In 1865, a group of Grosse Pointe residents founded the nondenominational Grosse Pointe Protestant Evangelical Church. In 1920, the congregation reorganized as a Presbyterian church. Truman Handy Newberry and his brother John donated nearly $300,000 to the congregation for a new church building, as a memorial to their parents John and Helen."
38,Hamtramck Stadium,"July 31, 2012(#12000458)",3201 Dan St.42°23′23″N 83°03′03″W﻿ / ﻿42.38982°N 83.050699°W,Hamtramck,"Hamtramck Stadium, also known as Roesink Stadium, is one of only 12 remaining Negro league baseball stadiums. It was home to the Detroit Stars of 1930-31, 1933, and 1937. It was also home to the Detroit Wolves who played in 1932."
39,Highland Heights-Stevens' Subdivision Historic District,"February 8, 1988(#88000050)","Bounded by Woodward Ave., the alley south of E. Buena Vista Ave., Oakland Ave., and the alley south of Massachusetts Ave.42°23′49″N 83°05′13″W﻿ / ﻿42.396944°N 83.086944°W",Highland Park,"The Highland Heights-Stevens' Subdivision Historic District is a residential historic district of primarily single-family homes built in the early 20th-century. The houses are fine representation of the variety of American residential architecture in the years 1900–1930. Styles represented include foursquares, bungalows, and various revival styles."
40,Highland Park General Hospital,"October 31, 1985(#85003400)",357 Glendale Ave.42°23′41″N 83°06′19″W﻿ / ﻿42.394722°N 83.105278°W,Highland Park,"The Highland Park General Hospital is a significant landmark in the history of Highland Park. The hospital was one of the first two institutions established when Highland Park incorporated as a city in 1916. The primary building faces Glendale, and includes the original hospital building, built in 1918, and the attached nurses' residence, built in 1925."
41,"Highland Park Plant, Ford Motor Company","February 6, 1973(#73000961)",15050 Woodward Ave.42°24′37″N 83°05′40″W﻿ / ﻿42.410278°N 83.094444°W,Highland Park,"The Highland Park Ford Plant was a production plant for Ford Motor Company The plant was designed by Albert Kahn in 1908 and was opened in 1910. Because of its spacious design, it set the precedent for many factories and production plants built thereafter. In 1913, the Highland Park Ford Plant became the first automobile production facility in the world to implement the assembly line"
42,Highland Park Presbyterian Church,"August 3, 1982(#82002920)",14 Cortland St.42°23′48″N 83°05′30″W﻿ / ﻿42.396667°N 83.091667°W,Highland Park,"The Highland Park Presbyterian Church was established in 1893 as a mission church of the First Presbyterian Church of Detroit. Three years later a small chapel was built on the site of the present church. However, the congregation grew to over two hundred members, and the present building was constructed from 1910 to 1911. The building is now known as the Park United Presbyterian Church."
43,Hull's Trace North Huron River Corduroy Segment,"December 13, 2010(#10001022)",36000 W. Jefferson Ave.42°02′48″N 83°12′43″W﻿ / ﻿42.046667°N 83.211944°W,Brownstown Charter Township,"At the beginning of the War of 1812, troops under the command of General William Hull constructed what became known as \Hull's Trace"
44,Jefferson Avenue – Huron River and Harbin Drive – Silver Creek Canal Bridges,"February 10, 2000(#00000080)",Jefferson Ave. over Huron R.; Harbin Dr. over Silver Creek Canal42°02′32″N 83°12′52″W﻿ / ﻿42.042222°N 83.214444°W,Brownstown Charter Township,"This listing comprises two separate bridges: the Jefferson Avenue Bridge, which carries W. Jefferson Avenue over the Huron River and the smaller Harbin Drive Bridge spanning the Silver Creek Canal. The Jefferson Avenue Bridge connects Wayne County to Berlin Charter Township in Monroe County and is also listed on the NRHP listings in Monroe County article."
45,William and Margot Kessler House,"September 30, 2013(#13000801)",1013 Cadieux Road42°23′00″N 82°54′55″W﻿ / ﻿42.383335°N 82.915183°W,Grosse Pointe Park,"The William and Margot Kessler House was constructed in 1959 by architect William Kessler for himself, his wife Margot, and his family. The most dramatic features of the house are the saw-tooth roof and the textured brick privacy fence that creates an enclosed garden along the front of the house."
46,Orrin and Roxanne Fairman Kinyon House,"June 9, 2000(#00000649)",7675 N. Ridge Rd.42°20′30″N 83°31′43″W﻿ / ﻿42.341667°N 83.528611°W,Canton,"This house is a Greek Revival farmhouse, of post and beam construction, sided with wood and sitting on a stone foundation. It was built in 1850 by Orrin Kinyon, the son of one of Canton Township's original settlers."
