,Name on the Register,Date listed,Location,City or town,Summary
1,Academy of the Sacred Heart,"June 25, 1987(#87001061)",171 Lake Shore Dr.42°23′35″N 82°53′37″W﻿ / ﻿42.393056°N 82.893611°W,Grosse Pointe Farms,"This school was established in 1887 as a boarding school for young ladies by the Religious of the Sacred Heart, an order of cloistered nuns. It is now run as an independent day school, known as the Grosse Pointe Academy, by a lay Board of Trustees who continue the educational mission of the school."
2,"Russell A. Alger, Jr. House","July 8, 1982(#82002917)",32 Lake Shore Dr.42°23′13″N 82°53′50″W﻿ / ﻿42.386944°N 82.897222°W,Grosse Pointe Farms,"The Russell A. Alger, Jr. House was built in 1910 and served as the family home of Russell A. Alger Jr. until 1949, when it was donated to the community and dedicated to the memory of veterans and soldiers of World War II. It was rechristened the Grosse Pointe War Memorial, and is also known as The Moorings."
3,Annapolis Park Historic District,"May 18, 2006(#06000405)","Julius, Matthew, Hanover, Farnum, Alan, and Paul42°16′14″N 83°19′59″W﻿ / ﻿42.270556°N 83.333056°W",Westland,"During World War II, the African-American population in Detroit ballooned to 300,000 residents, but housing covenants, overpriced rent, and other forms of discrimination restricted where they could live. Julius and William Schwartz platted the Annapolis Park suburb in Westland in 1953 specifically for African-Americans."
4,Henry W. Baker House,"April 22, 1982(#82002922)",233 S. Main St.42°22′19″N 83°28′03″W﻿ / ﻿42.371944°N 83.4675°W,Plymouth,"This house was built for Henry W. Baker, president of the Plymouth Iron Windmill Company, which in 1888 introduced the Daisy air rifle and later changed its name to the Daisy Manufacturing Company. The house is of a fanciful Italianate design, likely based on an illustration in a pattern book. The house was a landmark in Plymouth because of the unusual tower, shaped like a pagoda, atop the mansard roof."
5,Tivadar and Dorothy Balogh House,"September 30, 2013(#13000800)",49800 Joy Road (Plymouth Township)42°21′02″N 83°31′52″W﻿ / ﻿42.350548°N 83.531141°W,Cherry Hill vicinity,"The Tivadar and Dorothy Balogh House was constructed in 1958-59 by architect Tividar Balogh for himself, his wife, Dorothy and their family. The house is a two-story cubic structure, clad in redwood siding. The house sits on a partial basement on one side and support posts on the other side. The section beneath the house was originally open; the space beneath gives the house an impressive \lightness\"" and makes it appear to hover above the landscape."""
6,Thomas and Maria Blackman Bartlett House,"June 2, 2000(#00000614)",500 N. Ridge Rd. (Canton Township)42°18′30″N 83°32′05″W﻿ / ﻿42.308333°N 83.534722°W,Cherry Hill,"The Thomas and Maria Blackman Bartlett House (also known as the Bartlett-Travis House) was originally constructed c. 1840 in a Greek Revival style, but in subsequent years has been updated with Victorian elements. In 1989, the house was moved to its current location and placed on a new foundation. Restoration work was begun in 1994 and finished in 2002."
7,Beverly Road Historic District,"April 7, 1995(#94001428)",23-45 Beverly Rd.42°23′18″N 82°54′06″W﻿ / ﻿42.388333°N 82.901667°W,Grosse Pointe Farms,"The Beverly Road Historic District covers the original area of the Beverly Park Subdivision, platted by Henry B. Joy in 1911. The district was one of the earliest upper-class subdivisions in the Grosse Pointes, and marked the change of the area from a farming and summer-home community into an upscale year-round community."
8,David and Elizabeth Bell Boldman House,"June 2, 2000(#00000615)",3339 S. Canton Center Rd. (Canton Township)42°16′54″N 83°29′09″W﻿ / ﻿42.281667°N 83.485833°W,Sheldon,The David and Elizabeth Bell Boldman House was a basilica-style Greek Revival with a two-story center section flanked by single-story wings. The former site of the house is now vacant.
9,Benjamin and Mary Ann Bradford House,"June 9, 2000(#00000648)",48145 Warren Rd.42°20′07″N 83°30′54″W﻿ / ﻿42.335278°N 83.515°W,Canton,"In 1825, Moses Bradford moved to Canton Township, one of the first settlers to stake a claim in the area. The following year, Aruna and Mary Bradford, Moses's parents, followed their son to Canton Township. On arrival, they bought the property this house now sits on; in 1835 they sold the parcel to their other son, Benjamin. In 1860, Benjamin built the house that now stands on the property; it remained in the Bradford family until 1911."
10,Jos. Campau Historic District,"October 17, 2012(#12000870)","Bounded by Holbrook, Pulaski, Casmere, & Lehman Sts.42°23′55″N 83°03′32″W﻿ / ﻿42.39852°N 83.058922°W",Hamtramck,"The Jos. Campau Historic District contains a unique collection of early 20th century commercial architecture, constructed as Hamtramck expanded in the wake of the 1915 opening of the nearby Dodge Main Plant."
11,Cherry Hill Historic District,"April 2, 2003(#03000176)",Cherry Hill and Ridge Rds.42°18′17″N 83°32′20″W﻿ / ﻿42.304722°N 83.538889°W,Canton Township,"The Cherry Hill Historic District contains buildings on Cherry Hill and Ridge Roads in the unincorporated crossroads community of Cherry Hill. CHerry Hill was established in 1825, and the district includes the Italianate Cherry Hill House inn, the Gothic Revival Cherry Hill United Methodist Church and associated cemetery, the Cherry Hill School, the Thomas and Maria Blackman Bartlett House, the Thomas and Isabella Moore Clyde House, and buildings used for one of Henry Ford's Village industry projects."
12,Christ Church Chapel,"September 10, 1993(#93000424)",61 Grosse Pointe Rd.42°23′29″N 82°54′03″W﻿ / ﻿42.391389°N 82.900833°W,Grosse Pointe Farms,"The Grosse Pointe Episcopal congregation began as a branch of Christ Church Detroit in 1923. This building, completed in 1930, was initially referred to as a \chapel"
