,Name on the Register,Date listed,Location,City or town,Summary
13,Thomas and Isabella Moore Clyde House,"April 2, 2003(#03000175)",50325 Cherry Hill Rd.42°18′21″N 83°32′07″W﻿ / ﻿42.305833°N 83.535278°W,Canton Township,"The Thomas Clyde House is a 1 1⁄2-story clapboard upright and wing Greek Revival house with an unusual asymmetrical facade. It was built c. 1845, and moved from its original location across the street to its present location in 1924."
14,Commandant's Quarters,"October 15, 1970(#70000286)",21950 Michigan Ave.42°18′23″N 83°14′38″W﻿ / ﻿42.306389°N 83.243889°W,Dearborn,"The Commandant's Quarters was built in 1833 as part of the Detroit Arsenal, which was relocated from Detroit due to fear that the stored explosives would endanger the city's population. It is the oldest building in Dearborn still located on its original site, and is considered to be one of the seven most significant buildings in Michigan."
15,Charles G. Curtiss Sr. House,"December 2, 1993(#93001350)",168 S. Union St.42°22′19″N 83°27′58″W﻿ / ﻿42.371944°N 83.466111°W,Plymouth,"This house is a two-story wood-framed house sitting on a fieldstone foundation. It was built in approximately 1890 by Charles G. Curtiss Sr., a builder from Plymouth. The form of the house (a gabled ell with tower) had been poplar regionally and nationally since the 1850s, but by the time this house was built was much out of fashion."
16,Dearborn Inn and Colonial Homes,"December 10, 1982(#82000549)",20301 Oakwood Blvd.42°17′48″N 83°13′41″W﻿ / ﻿42.296667°N 83.228056°W,Dearborn,"The Dearborn Inn, was conceived by Henry Ford, who saw a need for food and accommodations for visitors flying into the nearby Ford Airport. The Inn was designed by architect Albert Kahn, and upon its opening in 1931 became the first airport hotel in the country."
17,Defer Elementary School,"May 2, 2001(#01000458)",15425 Kercheval42°23′00″N 82°56′07″W﻿ / ﻿42.383336°N 82.935183°W,Grosse Pointe Park,"In 1921, in response to the influx of families, five school districts in what is now the Grosse Pointe area were consolidated into Rural Agricultural District No. 1 (later renamed the Grosse Pointe Public School System). The first building constructed after consolidation was Defer Elementary School, built on the site of a rhubarb patch owned by Ludwig Meininger."
18,Paul Harvey Deming House,"July 25, 1996(#96000811)",111 Lake Shore Rd.42°23′30″N 82°53′40″W﻿ / ﻿42.391667°N 82.894444°W,Grosse Pointe Farms,"This house was a 15,000-square-foot (1,400 m2), 2 1⁄2-story Tudor Revival built in the shape of a U. It was built for Paul Harvey Deming, Chairman of the Board of the George Worthington Company. The house was demolished in 1997."
19,Phillip and Maria Hasselbach Dingledey House,"June 2, 2000(#00000616)",1638 N. Haggerty Rd. (Canton Township)42°19′06″N 83°26′55″W﻿ / ﻿42.318333°N 83.448611°W,Westland,The Phillip and Maria Hasselbach Dingledey House was an upright and wing style farmhouse with a relatively unusual double upright. The house is no longer at its listed location; a small commercial complex now occupies the site.
20,East River Road Historic District,"August 13, 1974(#74001003)",East River Rd. near the Grosse Ile Parkway42°07′33″N 83°08′30″W﻿ / ﻿42.125833°N 83.141667°W,Grosse Ile,"This district includes several Gothic Revival mansions built in the 1850s, St. James Episcopal Church (also on the Register) and the Michigan Central Railroad Depot."
21,East River Road – North Hickory Canal Bridge,"February 4, 2000(#00000042)",E. River Rd. over N. Hickory Canal42°05′46″N 83°09′02″W﻿ / ﻿42.096111°N 83.150556°W,Grosse Ile,"The East River Road – North Hickory Canal Bridge is 64 feet (20 m) continuous concrete slab bridge. Wayne County used this type of bridge in the years during and after World War II, presumably because of the difficulty of obtaining steel during these years."
22,John and Emma Lacey Eberts House,"July 16, 2009(#09000524)",109 Vinewood Ave.42°12′27″N 83°09′02″W﻿ / ﻿42.207372°N 83.1506°W,Wyandotte,"In 1872, John Eberts Jr. married Emma Lacey, and that same year the couple hired Raphael R. Thomas to build this house."
23,Orson Everitt House,"October 14, 1980(#80001933)",39040 W. Seven Mile Rd.42°25′31″N 83°25′47″W﻿ / ﻿42.425278°N 83.429722°W,Livonia,This irregularly massed Queen Anne features a broad porch and a circular turret. It is likely the design of the house was selected from a house plan book; a similar house plan can be found in Herbert C. Chivers' Artistic Homes.
24,Fair Lane,"November 13, 1966(#66000399)",4901 Evergreen Rd.42°18′58″N 83°14′08″W﻿ / ﻿42.316111°N 83.235556°W,Dearborn,"Fair Lane was Henry and Clara Ford's estate in Dearborn, Michigan. It was named after an area in County Cork where Ford's adoptive grandfather, Patrick Ahern, was born. The extensive 1300 acre (5.3 km²) estate along the River Rouge included a large limestone house, electrical power plant on the dammed river, boathouse, stables and gardens designed by Jens Jensen. The estate was eventually donated to the University of Michigan for a new Dearborn campus."
