Date,Opponents,H/A,ResultF–A,Scorers,Attendance,Irrelevant_1,Unused_2,Unused_3
29 October 1921,Manchester City,H,3–1,Spence (3),"56,000",Qd5ugg,,
5 November 1921,Middlesbrough,H,3–5,"Lochhead, Sapsford, Spence","30,000",wqQxE,,
12 November 1921,Middlesbrough,A,0–2,,"18,000",2S2ln,,
19 November 1921,Aston Villa,A,1–3,Spence,"30,000",D13VxcZ,,
26 November 1921,Aston Villa,H,1–0,Henderson,"33,000",LqYcU5,,
3 December 1921,Bradford City,A,1–2,Spence,"15,000",LgULalB8,,
10 December 1921,Bradford City,H,1–1,Henderson,"9,000",fBVXlk,,
17 December 1921,Liverpool,A,1–2,Sapsford,"40,000",dV80SLk,,
24 December 1921,Liverpool,H,0–0,,"30,000",mYaI8P,,
26 December 1921,Burnley,H,0–1,,"15,000",TQyWgCNW,,
27 December 1921,Burnley,A,2–4,"Lochhead, Sapsford","10,000",U9HbObU,,
