Date,Opponents,H/A,ResultF–A,Scorers,Attendance,Dummy_Col_1,Random_Column_2,Extra_Data_3
31 December 1921,Newcastle United,A,0–3,,"20,000",ZULlBN,Y96nZeCq,28
2 January 1922,Sheffield United,A,0–3,,"18,000",peWIEzuP,cZID3jHO,704
14 January 1922,Newcastle United,H,0–1,,"20,000",BOKGKo,mS89bl8D,266
21 January 1922,Sunderland,A,1–2,Sapsford,"10,000",aNNYW,xK0rt,377
28 January 1922,Sunderland,H,3–1,"Lochhead, Sapsford, Spence","18,000",KOwEETak,yzAapDaP,778
11 February 1922,Huddersfield Town,H,1–1,Spence,"30,000",CONIoa,6C4lDks,354
18 February 1922,Birmingham,A,1–0,Spence,"20,000",RraPlTQ,zzJyHSI,6
25 February 1922,Birmingham,H,1–1,Sapsford,"35,000",yNkpvm,kReZc,230
27 February 1922,Huddersfield Town,A,1–1,Sapsford,"30,000",EBTmdHe,WTyVgRB4,538
11 March 1922,Arsenal,H,1–0,Spence,"30,000",HBnHS,mZyhrVT0,178
