Medal,Name,Sport,Event,Date,Unused_1,Unused_2
Silver,Roxana Maracineanu,Swimming,Women's 200 m backstroke,September 22,,
Bronze,Jérôme Thomas,Boxing,Flyweight,October 1,,
Bronze,Anne-Lise Bardet,Canoeing,Women's slalom K-1,September 18,,
Bronze,Jeannie Longo,Cycling,Women's road time trial,September 30,,
Bronze,Laura Flessel-Colovic,Fencing,Women's épée,September 17,,
Bronze,Frédéric Demontfaucon,Judo,Men's 90 kg,September 20,,
Bronze,Stéphane Traineau,Judo,Men's 100 kg,September 21,,
Bronze,"Thibaud Chapelle, Pascal Touron",Rowing,Men's lightweight double sculls,September 24,,
Bronze,"Virginie Dedieu, Myriam Lignot",Synchronized swimming,Women's duet,September 26,,
Bronze,"Patrick Chila, Jean-Philippe Gatien",Table tennis,Men's doubles,September 23,,
Bronze,Arnaud Di Pasquale,Tennis,Men's singles,September 28,,
Bronze,Pascal Gentil,Taekwondo,Men's +80 kg,September 30,,
