Medal,Name,Sport,Event,Date,Filler_1
Silver,France national basketball teamJim Bilba Crawford PalmerYann Bonato Antoine RigaudeauMakan Dioumassi Stéphane RisacherLaurent Foirest Laurent SciarraThierry Gadou Moustapha SonkoCyril Julian Frédéric Weis,Basketball,Men's competition,October 1,Jgnas
Silver,Brigitte Guibal,Canoeing,Women's slalom K-1,September 18,gbmxVH
Silver,Florian Rousseau,Cycling,Men's sprint,September 20,uDCkCHv
Silver,Marion Clignet,Cycling,Women's individual pursuit,September 18,ohBlxr
Silver,Hugues Obry,Fencing,Men's épée,September 16,eStiCpIo
Silver,"Jean-François Di Martino, Hugues Obry, Éric Srecki",Fencing,Men's team épée,September 18,HzaSYOr
Silver,Mathieu Gourdain,Fencing,Men's sabre,September 21,aZCMT
Silver,"Mathieu Gourdain, Julien Pillet,Cédric Séguin, Damien Touya",Fencing,Men's team sabre,September 24,hVpaJl
Silver,Éric Poujade,Gymnastics,Men's pommel horse,September 24,lbPVc
Silver,Benjamin Varonian,Gymnastics,Men's horizontal bar,September 25,vCKTQgtn
Silver,Larbi Benboudaoud,Judo,Men's 66 kg,September 16,JSpbrJt
Silver,Céline Lebrun,Judo,Women's 78 kg,September 21,eRQdYJY
Silver,Delphine Racinet,Shooting,Women's trap,September 18,cSkPuANX
