Team,No,Driver,Class,Chassis,Engine,Filler_1,Irrelevant_2
Performance Racing,54,Julien Schell,S,Dallara F301,Opel Spiess,avNnCD,lwcjb1p
Meritus Racing,55,Gavin Smith,S,Dallara F301,Mugen-Honda,cWsOQg,htKs50E6
Meritus Racing,56,Stephen Colbert,S,Dallara F301,Mugen-Honda,vosAIR,wEOxU
Essential Motorsport,58,Reck Junior,S,Dallara F301,Toyota,BXFKigsb,HScpjS
Essential Motorsport,58,Ricardo Teixeira,S,Dallara F301,Toyota,qdiaGYk,XUdMb
Essential Motorsport,59,Jesper Carlsen,S,Dallara F301,Toyota,LoNIT,EDjUR
Scuderia Etruria,60,Diego Romanini,S,Dallara F301,Opel Spiess,SZHmbYCA,kJ9J1
Sweeney Racing,61,Adam Carroll,S,Dallara F301,Mugen-Honda,TjfxPK,PRMM3Dp
Sweeney Racing,62,Billy Asaro,S,Dallara F301,Mugen-Honda,icnkpan,60ovPJ
Sweeney Racing,63,Robert Dahlgren,S,Dallara F301,Mugen-Honda,kLTXyxf,l8dcGe
