Team,No,Driver,Class,Chassis,Engine
Menu Motorsport,16,Rob Austin,C,Dallara F302,Opel Spiess
Menu Motorsport,17,Giandomenico Brusatin,C,Dallara F302,Opel Spiess
Menu Motorsport,17,Stefan de Groot,C,Dallara F302,Opel Spiess
Motaworld Racing,18,Andrew Thompson,C,Dallara F302,Ford
Motaworld Racing,19,Tom Sisley,C,Dallara F302,Ford
Motaworld Racing,19,Stefan Hodgetts,C,Dallara F302,Ford
Fred Goddard Racing,51,Fairuz Fauzy,S,Dallara F301,Renault Sodemo
Fred Goddard Racing,52,Jason Tahinci,S,Dallara F301,Renault Sodemo
Fred Goddard Racing,52,Earl Goddard,S,Dallara F301,Renault Sodemo
Performance Racing,53,Justin Sherwood,S,Dallara F301,Opel Spiess
