Team,No,Driver,Class,Chassis,Engine
Team Park,64,Stephen Colbert,S,Dallara F301,Opel Spiess
Team Park,64,Stefan Hodgetts,S,Dallara F301,Opel Spiess
Team Park,64,Adam Jones,S,Dallara F301,Opel Spiess
Team Park,64,David Clark,S,Dallara F301,Opel Spiess
Team Park,65,David Clark,S,Dallara F301,Opel Spiess
Diamond Racing,66,Pedro Barral,S,Dallara F301,Mugen-Honda
Diamond Racing,77,Harold Primat,S,Dallara F301,Mugen-Honda
T-Sport,67,Clivio Piccione,S,Dallara F301,Mugen-Honda
T-Sport,68,Karun Chandhok,S,Dallara F301,Mugen-Honda
Hill Speed Motorsport,69,Luke Stevens,S,Dallara F301,Opel Spiess
