#,Prime Minister,Date of birth,Start dateof (first) term,Age at beginningof (first) term,End dateof (final) term,Total time inoffice,Date of death,Lifespan
1,Edmund Barton,18 January 1849,1 January 1901,"51 years, 348 days",24 September 1903,996 days,7 January 1920,"25,920 days (70 years, 354 days)"
2,Alfred Deakin,3 August 1856,24 September 1903,"47 years, 52 days",29 April 1910,"1,774 days",7 October 1919,"23,074 days (63 years, 65 days)"
3,Chris Watson,9 April 1867,27 April 1904,"37 years, 18 days",18 August 1904,113 days,18 November 1941,"27,251 days (74 years, 223 days)"
4,George Reid,25 February 1845,18 August 1904,"59 years, 175 days",5 July 1905,321 days,12 September 1918,"26,861 days (73 years, 199 days)"
5,Andrew Fisher,29 August 1862,13 November 1908,"46 years, 76 days",27 October 1915,"1,758 days",22 October 1928,"24,160 days (66 years, 54 days)"
6,Joseph Cook,7 December 1860,24 June 1913,"52 years, 199 days",17 September 1914,450 days,30 July 1947,"31,645 days (86 years, 235 days)"
7,Billy Hughes,25 September 1862,27 October 1915,"53 years, 32 days",9 February 1923,"2,662 days",28 October 1952,"32,905 days (90 years, 33 days)"
8,Stanley Bruce,15 April 1883,9 February 1923,"39 years, 300 days",22 October 1929,"2,447 days",25 August 1967,"30,812 days (84 years, 132 days)"
9,James Scullin,18 September 1876,22 October 1929,"53 years, 34 days",6 January 1932,806 days,28 January 1953,"27,890 days (76 years, 132 days)"
10,Joseph Lyons,15 September 1879,6 January 1932,"52 years, 113 days",7 April 1939,"2,648 days",7 April 1939,"21,753 days (59 years, 204 days)"
11,Earle Page,8 August 1880,7 April 1939,"58 years, 242 days",26 April 1939,19 days,20 December 1961,"29,718 days (81 years, 134 days)"
12,Robert Menzies,20 December 1894,26 April 1939,"44 years, 127 days",26 January 1966,"6,735 days",15 May 1978,"30,461 days (83 years, 146 days)"
13,Arthur Fadden,13 April 1894,29 August 1941,"47 years, 138 days",7 October 1941,39 days,21 April 1973,"28,862 days (79 years, 8 days)"
14,John Curtin,8 January 1885,7 October 1941,"56 years, 272 days",5 July 1945,"1,367 days",5 July 1945,"22,092 days (60 years, 178 days)"
15,Frank Forde,18 July 1890,6 July 1945,"54 years, 353 days",13 July 1945,7 days,28 January 1983,"33,796 days (92 years, 194 days)"
