#,Prime Minister,Date of birth,Start dateof (first) term,Age at beginningof (first) term,End dateof (final) term,Total time inoffice,Date of death,Lifespan,Unused_1,Unused_2,Irrelevant_3
16,Ben Chifley,22 September 1885,13 July 1945,"59 years, 294 days",19 December 1949,"1,620 days",13 June 1951,"24,004 days (65 years, 264 days)",,,4E6IM
17,Harold Holt,5 August 1908,26 January 1966,"57 years, 174 days",19 December 1967,690 days,17 December 1967,"21,683 days (59 years, 134 days)",,,7LzvaZl
18,John McEwen,29 March 1900,19 December 1967,"67 years, 265 days",10 January 1968,22 days,20 November 1980,"29,456 days (80 years, 236 days)",,,KjjuPoE
19,John Gorton,9 September 1911,10 January 1968,"56 years, 123 days",10 March 1971,"1,155 days",19 May 2002,"33,125 days (90 years, 252 days)",,,Jp5Vdsdi
20,William McMahon,23 February 1908,10 March 1971,"63 years, 15 days",5 December 1972,636 days,31 March 1988,"29,257 days (80 years, 37 days)",,,HGDQWjib
21,Gough Whitlam,11 July 1916,5 December 1972,"56 years, 147 days",11 November 1975,"1,071 days",,"35,771 days (97 years, 342 days)",,,LZXO7
22,Malcolm Fraser,21 May 1930,11 November 1975,"45 years, 174 days",11 March 1983,"2,677 days",,"30,709 days (84 years, 28 days)",,,4N57SRdP
23,Bob Hawke,9 December 1929,11 March 1983,"53 years, 92 days",20 December 1991,"3,206 days",,"30,872 days (84 years, 191 days)",,,gu8u6
24,Paul Keating,18 January 1944,20 December 1991,"47 years, 336 days",11 March 1996,"1,543 days",,"25,719 days (70 years, 151 days)",,,vyKwsg
25,John Howard,26 July 1939,11 March 1996,"56 years, 229 days",3 December 2007,"4,284 days",,"27,356 days (74 years, 327 days)",,,Y67wAy
26,Kevin Rudd,21 September 1957,3 December 2007,"50 years, 73 days",18 September 2013,"1,017 days",,"20,724 days (56 years, 270 days)",,,9U26pkq
27,Julia Gillard,29 September 1961,24 June 2010,"48 years, 268 days",27 June 2013,"1,099 days",,"19,255 days (52 years, 262 days)",,,9rBFTz
28,Tony Abbott,4 November 1957,18 September 2013,"55 years, 318 days",Incumbent,273 days,,"20,680 days (56 years, 226 days)",,,Ejp5vdiD
#,Prime Minister,Date of birth,Start dateof (first) term,Age at beginningof (first) term,End dateof (final) term,Total timein office,Date of death,Lifespan,,,1QJYk
