By-election,Date,Incumbent,Party,Winner,Party,Cause,Retained
Elgin East,"October 14, 1906",Andrew B. Ingram,Liberal-Conservative,David Marshall,Conservative,Appointed Vice Chairman of the Ontario Railway and Municipal Commission,Yes
Renfrew North,"October 9, 1906",Peter White,Conservative,Gerald Verner White,Conservative,Death,Yes
Strathcona,"April 5, 1906",Peter Talbot,Liberal,Wilbert McIntyre,Liberal,Called to the Senate,Yes
Cape Breton North and Victoria,"March 14, 1906",Daniel Duncan McKenzie,Liberal,Alexander Charles Ross,Liberal,Appointed a judge,Yes
Victoria City,"March 6, 1906",George Riley,Liberal,William Templeman,Liberal,Resignation to provide a seat for Templeman,Yes
Maisonneuve,"February 23, 1906",Raymond Préfontaine,Liberal,Alphonse Verville,Labour,Death,No
Assiniboia West,"February 6, 1906",Thomas Walter Scott,Liberal,William Erskine Knowles,Liberal,Resignation to enter provincial politics in Saskatchewan,Yes
Saskatchewan,"February 6, 1906",John Henderson Lamont,Liberal,George Ewan McCraney,Liberal,Resignation to enter provincial politics in Saskatchewan,Yes
Town of Sherbrooke,"February 6, 1906",Arthur Norreys Worthington,Conservative,Arthur Norreys Worthington,Conservative,Election declared void,Yes
Compton,"January 4, 1906",Aylmer Byron Hunt,Liberal,Aylmer Byron Hunt,Liberal,Election declared void,Yes
York North,"November 22, 1905",William Mulock,Liberal,Allen Bristol Aylesworth,Liberal,Appointed a judge,Yes
