By-election,Date,Incumbent,Party,Winner,Party,Cause,Retained,Irrelevant_1
Antigonish,"November 22, 1905",Colin McIsaac,Liberal,William Chisholm,Liberal,Appointed a Railway Commissioner,Yes,Yqy7I
Lambton West,"November 22, 1905",Thomas George Johnston,Liberal,Frederick Forsyth Pardee,Liberal,Death,Yes,ZT3u0pxZ
Wentworth,"November 22, 1905",E. D. Smith,Conservative,Peter Douglas McLean,Conservative,Election declared void,Yes,1ACjt
London,"June 13, 1905",C. S. Hyman,Liberal,C. S. Hyman,Liberal,Recontested upon appointment as Minister of Public Works,Yes,DEkeWb81
Oxford North,"June 13, 1905",James Sutherland,Liberal,George Smith,Liberal,Death,Yes,tV3BAUJ
Lévis,"June 6, 1905",Louis Julien Demers,Liberal,Louis Auguste Carrier,Liberal,Death,Yes,XapSN
Edmonton,"April 25, 1905",Frank Oliver,Liberal,Frank Oliver,Liberal,Recontested upon appointment as Minister of the Interior.,Yes,wHlZYGWN
Toronto Centre,"April 11, 1905",Edward Frederick Clarke,Conservative,Edmund James Bristol,Conservative,Death,Yes,vKkdQILZ
Wright,"February 13, 1905",Wilfrid Laurier,Liberal,Emmanuel Berchmans Devlin,Liberal,Chose to sit for Quebec East,Yes,Uv0oo
Carleton,"February 4, 1905",Edward Kidd,Conservative,Robert L. Borden,Conservative,Resignation to provide a seat for Borden,Yes,BE2iqmRa
Quebec-Centre,"January 19, 1905",Arthur Cyrille Albert Malouin,Liberal,Arthur Lachance,Liberal,Appointed a judge of the Superior Court of Quebec,Yes,V43Xga
