Rank,Representative,Party,District,Seniority date,Notes,Filler_1,Irrelevant_2
361,Randy Kuhl,R,NY-29,"January 3, 2005",Left the House in 2009.,gUgRJn,TfGaFeEo
362,Dan Lipinski,D,IL-03,"January 3, 2005",,uqULpRr,z3NVNC
363,Connie Mack IV,R,FL-14,"January 3, 2005",,JbNPXz,h6FChj
364,Kenny Marchant,R,TX-24,"January 3, 2005",,YPpUX,kM9sj
365,Mike McCaul,R,TX-10,"January 3, 2005",,veUsnfM,Qw7USijZ
366,Patrick McHenry,R,NC-10,"January 3, 2005",,BbbRaK,l5hIhHtj
367,Cathy McMorris,R,WA-5,"January 3, 2005",,teceIV,fmIv3qD
368,Charlie Melancon,D,LA-3,"January 3, 2005",,PbZFSct,9ARPBBP
369,Gwen Moore,D,WI-4,"January 3, 2005",,poViri,e0Clrpf
370,Ted Poe,R,TX-02,"January 3, 2005",,ZnnuA,UvdJddb
371,Tom Price,R,GA-06,"January 3, 2005",,ZcUdaqS,P4jQO
372,Dave Reichert,R,WA-8,"January 3, 2005",,douqX,C1xnb
373,John Salazar,D,CO-3,"January 3, 2005",,qYnmT,aKyVfEE
374,Allyson Schwartz,D,PA-13,"January 3, 2005",,PYVWMHO,RfR4PLB
375,Debbie Wasserman Schultz,D,FL-20,"January 3, 2005",,bDECQM,KVIaeBm
376,Lynn Westmoreland,R,GA-03,"January 3, 2005",,AGSzKg,4A34yz1
377,Doris Matsui,D,CA-05,"March 10, 2005",,nTDHEf,GGG4wNIK
378,Jean Schmidt,R,OH-02,"August 3, 2005",,dptDfcd,1eiNGW
379,John Campbell,R,CA-48,"December 7, 2005",,mkLvDKx,if88pYH2
380,Brian Bilbray,R,CA-50,"June 13, 2006",Previously served from 1995 to 2001.,wQzSgI,DkCcDKi1
381,Albio Sires,D,NJ-13,"November 13, 2006",,loiAA,kvhGFQ
382,Nick Lampson,D,TX-22,"January 4, 2007",Previously served from 1997 to 2005. Left the House in 2009.,mLINnWl,nThMlV
383,Ciro Rodriguez,D,TX-23,"January 4, 2007",Previously served from 1997 to 2005.,iDCyDy,rW84W
384,Baron Hill,D,IN-9,"January 4, 2007",Previously served from 1999 to 2005.,QWztoGeX,2TnpJa
385,Jason Altmire,D,PA-04,"January 4, 2007",,RIORqQw,WWNZXI
386,Michael Arcuri,D,NY-24,"January 4, 2007",,OQBzDl,ik2OJQ
387,Michele Bachmann,R,MN-6,"January 4, 2007",,gBqziE,vVEp4xq
388,Gus Bilirakis,R,FL-09,"January 4, 2007",,YEBiLH,EE6PB
389,Nancy Boyda,D,KS-2,"January 4, 2007",Left the House in 2009.,PhMuc,oMNNeV
390,Bruce Braley,D,IA-1,"January 4, 2007",,LcmYb,Bppr4GM8
391,Vern Buchanan,R,FL-13,"January 4, 2007",,Mouhbm,0iAAejC
392,Chris Carney,D,PA-10,"January 4, 2007",,OenFa,7FT9el6
393,Kathy Castor,D,FL-11,"January 4, 2007",,YsXMg,hDaET19G
394,Yvette D. Clarke,D,NY-11,"January 4, 2007",,XOhLRt,Ft8IRJri
395,Steve Cohen,D,TN-9,"January 4, 2007",,UelPoGE,p0E0gyPV
396,Joe Courtney,D,CT-2,"January 4, 2007",,NSdJCZ,lHuZM
397,David Davis,R,TN-1,"January 4, 2007",Left the House in 2009.,WguGYmWx,FbZzROg
398,Joe Donnelly,D,IN-2,"January 4, 2007",,euMUPAK,cm4HE
399,Keith Ellison,D,MN-5,"January 4, 2007",,oKwlrZDP,buaiOarN
400,Brad Ellsworth,D,IN-8,"January 4, 2007",,qqwyP,5I9O1k
401,Mary Fallin,R,OK-5,"January 4, 2007",,ImyNXq,WKzdD1bG
402,Gabrielle Giffords,D,AZ-8,"January 4, 2007",,pvbLI,GBmL6rqD
403,Kirsten Gillibrand,D,NY-20,"January 4, 2007",,YDnmtDzF,rmUHKG
404,John Hall,D,NY-19,"January 4, 2007",,eKwgd,clziQOdB
