Rank,Representative,Party,District,Seniority date,Notes
316,Steve King,R,IA-5,"January 3, 2003",
317,John Kline,R,MN-2,"January 3, 2003",
318,Jim Marshall,D,GA-08,"January 3, 2003",
319,Thaddeus McCotter,R,MI-11,"January 3, 2003",
320,Kendrick Meek,D,FL-17,"January 3, 2003",
321,Mike Michaud,D,ME-2,"January 3, 2003",
322,Brad Miller,D,NC-13,"January 3, 2003",
323,Candice Miller,R,MI-10,"January 3, 2003",
324,Tim Murphy,R,PA-18,"January 3, 2003",
325,Marilyn Musgrave,R,CO-4,"January 3, 2003",Left the House in 2009.
326,Devin Nunes,R,CA-21,"January 3, 2003",
327,Steve Pearce,R,NM-2,"January 3, 2003",Left the House in 2009
328,Jon Porter,R,NV-3,"January 3, 2003",Left the House in 2009.
329,Rick Renzi,R,AZ-1,"January 3, 2003",Left the House in 2009
330,Mike D. Rogers,R,AL-3,"January 3, 2003",
331,Dutch Ruppersberger,D,MD-2,"January 3, 2003",
332,Tim Ryan,D,OH-17,"January 3, 2003",
333,Linda Sánchez,D,CA-39,"January 3, 2003",
334,David Scott,D,GA-13,"January 3, 2003",
335,Michael Turner,R,OH-03,"January 3, 2003",
336,Chris Van Hollen,D,MD-8,"January 3, 2003",
337,Randy Neugebauer,R,TX-19,"June 3, 2003",
338,Ben Chandler,D,KY-6,"February 17, 2004",
339,Stephanie Herseth,D,SD,"June 1, 2004",
340,G. K. Butterfield,D,NC-01,"July 20, 2004",
341,Dan Lungren,R,CA-03,"January 3, 2005",Previously served from 1979 to 1989.
342,Bob Inglis,R,SC-4,"January 3, 2005",Previously served from 1993 to 1999.
343,John Barrow,D,GA-12,"January 3, 2005",
344,Melissa Bean,D,IL-08,"January 3, 2005",
345,Dan Boren,D,OK-2,"January 3, 2005",
346,Charles Boustany,R,LA-7,"January 3, 2005",
347,Russ Carnahan,D,MO-3,"January 3, 2005",
348,Emanuel Cleaver,D,MO-5,"January 3, 2005",
349,Mike Conaway,R,TX-11,"January 3, 2005",
350,Jim Costa,D,CA-20,"January 3, 2005",
351,Henry Cuellar,D,TX-28,"January 3, 2005",
352,Geoff Davis,R,KY-4,"January 3, 2005",
353,Charlie Dent,R,PA-15,"January 3, 2005",
354,Thelma Drake,R,VA-02,"January 3, 2005",Left the House in 2009.
355,Jeff Fortenberry,R,NE-1,"January 3, 2005",
356,Virginia Foxx,R,NC-05,"January 3, 2005",
357,Louis Gohmert,R,TX-01,"January 3, 2005",
358,Al Green,D,TX-09,"January 3, 2005",
359,Brian Higgins,D,NY-27,"January 3, 2005",
360,Bobby Jindal,R,LA-1,"January 3, 2005","Resigned on January 14, 2008"
