Rank,Representative,Party,District,Seniority date,Notes
181,Roy Blunt,R,MO-7,"January 3, 1997",Minority Whip
182,Leonard Boswell,D,IA-3,"January 3, 1997",
183,Allen Boyd,D,FL-02,"January 3, 1997",
184,Kevin Brady,R,TX-08,"January 3, 1997",
185,Chris Cannon,R,UT-3,"January 3, 1997",Left the House in 2009
186,Julia Carson,D,IN-7,"January 3, 1997","Died December 15, 2007"
187,Danny Davis,D,IL-07,"January 3, 1997",
188,Diana DeGette,D,CO-1,"January 3, 1997",
189,Bill Delahunt,D,MA-10,"January 3, 1997",
190,Bob Etheridge,D,NC-02,"January 3, 1997",
191,Virgil Goode,R,VA-05,"January 3, 1997",Left the House in 2009.
192,Kay Granger,R,TX-12,"January 3, 1997",
193,Rubén Hinojosa,D,TX-15,"January 3, 1997",
194,Darlene Hooley,D,OR-5,"January 3, 1997",Left the House in 2009
195,Kenny Hulshof,R,MO-9,"January 3, 1997",Left the House in 2009
196,Carolyn Cheeks Kilpatrick,D,MI-13,"January 3, 1997",
197,Ron Kind,D,WI-3,"January 3, 1997",
198,Dennis Kucinich,D,OH-10,"January 3, 1997",
199,Carolyn McCarthy,D,NY-04,"January 3, 1997",
200,Jim McGovern,D,MA-03,"January 3, 1997",
201,Mike McIntyre,D,NC-07,"January 3, 1997",
202,Jerry Moran,R,KS-1,"January 3, 1997",
203,Bill Pascrell,D,NJ-08,"January 3, 1997",
204,John Peterson,R,PA-05,"January 3, 1997",Left the House in 2009
205,Chip Pickering,R,MS-3,"January 3, 1997",Left the House in 2009
206,Joe Pitts,R,PA-16,"January 3, 1997",
207,Silvestre Reyes,D,TX-16,"January 3, 1997",Chair of the Intelligence Committee
208,Steven Rothman,D,NJ-09,"January 3, 1997",
209,Loretta Sanchez,D,CA-47,"January 3, 1997",
210,Pete Sessions,R,TX-32,"January 3, 1997",
211,Brad Sherman,D,CA-27,"January 3, 1997",
212,John Shimkus,R,IL-19,"January 3, 1997",
213,Adam Smith,D,WA-9,"January 3, 1997",
214,Vic Snyder,D,AR-2,"January 3, 1997",
215,Ellen Tauscher,D,CA-10,"January 3, 1997",
216,John Tierney,D,MA-06,"January 3, 1997",
217,Robert Wexler,D,FL-19,"January 3, 1997",
218,Vito Fossella,R,NY-13,"November 4, 1997",Left the House in 2009
219,Gregory Meeks,D,NY-06,"February 3, 1998",
220,Lois Capps,D,CA-23,"March 10, 1998",
221,Mary Bono,R,CA-45,"April 7, 1998",
222,Barbara Lee,D,CA-09,"April 7, 1998",
223,Robert Brady,D,PA-01,"May 19, 1998",Chair of the House Administration Committee
224,Heather Wilson,R,NM-1,"June 23, 1998",Left the House in 2009
225,Jay Inslee,D,WA-1,"January 3, 1999",Previously served from 1993 to 1995.
