Rank,Representative,Party,District,Seniority date,Notes
91,John Olver,D,MA-01,"June 4, 1991",
92,Ed Pastor,D,AZ-4,"September 24, 1991",
93,Jerrold Nadler,D,NY-08,"November 3, 1992",
94,Spencer Bachus,R,AL-6,"January 3, 1993",Ranking member of the Financial Services Committee
95,Roscoe Bartlett,R,MD-6,"January 3, 1993",
96,Xavier Becerra,D,CA-31,"January 3, 1993",
97,Sanford Bishop,D,GA-02,"January 3, 1993",
98,Corrine Brown,D,FL-03,"January 3, 1993",
99,Steve Buyer,R,IN-4,"January 3, 1993",Ranking member of the Veterans' Affairs Committee
100,Ken Calvert,R,CA-44,"January 3, 1993",
101,Michael N. Castle,R,DE,"January 3, 1993",
102,Jim Clyburn,D,SC-6,"January 3, 1993",Majority Whip
103,Nathan Deal,R,GA-09,"January 3, 1993",
104,Lincoln Diaz-Balart,R,FL-21,"January 3, 1993",
105,Anna Eshoo,D,CA-14,"January 3, 1993",
106,Terry Everett,R,AL-2,"January 3, 1993",Left the House in 2009
107,Bob Filner,D,CA-51,"January 3, 1993",Chair of the Veterans' Affairs Committee
108,Bob Goodlatte,R,VA-06,"January 3, 1993",Ranking member of the Agriculture Committee
109,Gene Green,D,TX-29,"January 3, 1993",
110,Luis Gutiérrez,D,IL-04,"January 3, 1993",
111,Alcee Hastings,D,FL-23,"January 3, 1993",
112,Maurice Hinchey,D,NY-22,"January 3, 1993",
113,Pete Hoekstra,R,MI-02,"January 3, 1993",Ranking member of the Intelligence Committee
114,Tim Holden,D,PA-17,"January 3, 1993",
115,Eddie Bernice Johnson,D,TX-30,"January 3, 1993",
116,Peter King,R,NY-03,"January 3, 1993",Ranking member of the Homeland Security Committee
117,Jack Kingston,R,GA-01,"January 3, 1993",
118,Joe Knollenberg,R,MI-09,"January 3, 1993",Left the House in 2009.
119,John Linder,R,GA-07,"January 3, 1993",
120,Carolyn Maloney,D,NY-14,"January 3, 1993",
121,Donald Manzullo,R,IL-16,"January 3, 1993",
122,John McHugh,R,NY-23,"January 3, 1993",
123,Buck McKeon,R,CA-25,"January 3, 1993",Ranking member of the Education and Labor Committee
124,Marty Meehan,D,MA-05,"January 3, 1993","Resigned July 1, 2007"
125,John Mica,R,FL-07,"January 3, 1993",Ranking member of the Transportation and Infrastructure Committee
126,Earl Pomeroy,D,ND,"January 3, 1993",
127,Deborah Pryce,R,OH-15,"January 3, 1993",Left the House in 2009
128,Lucille Roybal-Allard,D,CA-34,"January 3, 1993",
129,Ed Royce,R,CA-40,"January 3, 1993",
130,Bobby Rush,D,IL-01,"January 3, 1993",
131,Bobby Scott,D,VA-03,"January 3, 1993",
132,Bart Stupak,D,MI-01,"January 3, 1993",
133,Nydia Velázquez,D,NY-12,"January 3, 1993",Chair of the Small Business Committee
134,Mel Watt,D,NC-12,"January 3, 1993",
135,Lynn Woolsey,D,CA-06,"January 3, 1993",
