Rank,Representative,Party,District,Seniority date,Notes
46,Richard Baker,R,LA-6,"January 3, 1987","Resigned February 2, 2008"
47,Peter DeFazio,D,OR-4,"January 3, 1987",
48,Elton Gallegly,R,CA-24,"January 3, 1987",
49,Dennis Hastert,R,IL-14,"January 3, 1987","Resigned November 26, 2007"
50,Wally Herger,R,CA-02,"January 3, 1987",
51,John Lewis,D,GA-05,"January 3, 1987",
52,Louise Slaughter,D,NY-28,"January 3, 1987",Chair of the Rules Committee
53,Lamar Smith,R,TX-21,"January 3, 1987",Ranking member of the Judiciary Committee
54,Fred Upton,R,MI-06,"January 3, 1987",
55,Nancy Pelosi,D,CA-08,"June 2, 1987",Speaker
56,Chris Shays,R,CT-4,"August 18, 1987",Left the House in 2009.
57,Jim McCrery,R,LA-4,"April 16, 1988",Ranking member of the Ways and Means CommitteeLeft the House in 2009
58,Jerry Costello,D,IL-12,"August 9, 1988",
59,John Duncan,R,TN-2,"November 8, 1988",
60,Frank Pallone,D,NJ-06,"November 8, 1988",
61,Eliot Engel,D,NY-17,"January 3, 1989",
62,Paul Gillmor,R,OH-05,"January 3, 1989","Died September 7, 2007"
63,Nita Lowey,D,NY-18,"January 3, 1989",
64,Jim McDermott,D,WA-7,"January 3, 1989",
65,Mike McNulty,D,NY-21,"January 3, 1989",Left the House in 2009
66,Richard Neal,D,MA-02,"January 3, 1989",
67,Donald Payne,D,NJ-10,"January 3, 1989",
68,Dana Rohrabacher,R,CA-46,"January 3, 1989",
69,Cliff Stearns,R,FL-06,"January 3, 1989",
70,John Tanner,D,TN-8,"January 3, 1989",
71,James Walsh,R,NY-25,"January 3, 1989",Left the House in 2009
72,Ileana Ros-Lehtinen,R,FL-18,"August 29, 1989",Ranking member of the Foreign Affairs CommitteeThe most senior Republican woman in the United States House of Representatives
73,Gene Taylor,D,MS-4,"October 17, 1989",
74,José Serrano,D,NY-16,"March 20, 1990",
75,Rob Andrews,D,NJ-01,"November 6, 1990",
76,Neil Abercrombie,D,HI-1,"January 3, 1991",Previously served from September 1986 to January 1987
77,John Boehner,R,OH-08,"January 3, 1991",Minority Leader
78,Dave Camp,R,MI-04,"January 3, 1991",
79,Bud Cramer,D,AL-5 Left the House in 2009,"January 3, 1991",
80,Rosa DeLauro,D,CT-3,"January 3, 1991",
81,John T. Doolittle,R,CA-04,"January 3, 1991",Left the House in 2009
82,Chet Edwards,D,TX-17,"January 3, 1991",
83,Wayne Gilchrest,R,MD-1,"January 3, 1991",Left the House in 2009
84,David Hobson,R,OH-07,"January 3, 1991",Left the House in 2009
85,William Jefferson,D,LA-2,"January 3, 1991",Left the House in 2009
86,Jim Moran,D,VA-08,"January 3, 1991",
87,Collin Peterson,D,MN-7,"January 3, 1991",
88,Jim Ramstad,R,MN-3,"January 3, 1991",Left the House in 2009
89,Maxine Waters,D,CA-35,"January 3, 1991",
90,Sam Johnson,R,TX-03,"January 3, 1991","May 18, 1991"
