Rank,Representative,Party,District,Seniority date,Notes,Noise_Field_1,Extra_Data_2,Dummy_Col_3
271,Mark Kirk,R,IL-10,"January 3, 2001",,rRJIdjS,661,bCkduv
272,James Langevin,D,RI-2,"January 3, 2001",,WsSozg,494,rJoajNX
273,Rick Larsen,D,WA-2,"January 3, 2001",,ScgYVhfG,907,dNNAa
274,Jim Matheson,D,UT-2,"January 3, 2001",,SebbJuJk,599,jLdOyZ
275,Betty McCollum,D,MN-4,"January 3, 2001",,LtjWMp,923,Bzqudcg
276,Mike Pence,R,IN-6,"January 3, 2001",,DEBqbyT,541,klFzivY
277,Todd Platts,R,PA-19,"January 3, 2001",,rKlila,697,qyGqMZ
278,Adam Putnam,R,FL-12,"January 3, 2001",,ZAEcEI,522,vGRrbt
279,Denny Rehberg,R,MT,"January 3, 2001",,SpXYCcv,907,qRqxPezl
280,Mike Rogers,R,MI-08,"January 3, 2001",,USNUVqM,506,uglPjMmL
281,Mike Ross,D,AR-4,"January 3, 2001",,BfAxuIXB,45,gOwHQ
282,Adam Schiff,D,CA-29,"January 3, 2001",,zTLiy,778,DsZqmSj
283,Hilda Solis,D,CA-32,"January 3, 2001",,ddTEPPg,760,wmTEn
284,Patrick Tiberi,R,OH-12,"January 3, 2001",,MFtRxS,911,TqDXGg
285,Bill Shuster,R,PA-09,"May 15, 2001",,LFevx,498,HFWQfhM
286,Diane Watson,D,CA-33,"June 5, 2001",,PtfAmfSM,359,zlJpmCB
287,Randy Forbes,R,VA-04,"June 19, 2001",,vAZplBr,443,otaOH
288,Stephen Lynch,D,MA-09,"October 16, 2001",,ikMqfYSQ,780,MvOEwcJw
289,Jeff Miller,R,FL-01,"October 16, 2001",,PnjCdIaG,615,bRAhee
290,John Boozman,R,AR-3,"November 20, 2001",,yBFrGrY,667,JyqYQ
291,Joe Wilson,R,SC-2,"December 18, 2001",,jnXcwuJu,843,worQrve
292,John Sullivan,R,OK-1,"February 15, 2002",,KSIuDuE,423,rIoXu
293,Jim Cooper,D,TN-5,"January 3, 2003",Previously served from 1983 to 1995.,ODwQLVAA,624,WjiYbw
294,Rodney Alexander,R,LA-5,"January 3, 2003",,BKvUKr,484,VfpynfH
295,Gresham Barrett,R,SC-3,"January 3, 2003",,bMUyPNn,906,QFZnNW
296,Rob Bishop,R,UT-1,"January 3, 2003",,PxgaOfs,870,YtKvz
297,Tim Bishop,D,NY-01,"January 3, 2003",,BuwtewEl,841,OSCQPYu
298,Marsha Blackburn,R,TN-7,"January 3, 2003",,zAqfBtt,517,OoPXYq
299,Jo Bonner,R,AL-1,"January 3, 2003",,docnUk,289,pZEtQKBH
300,Ginny Brown-Waite,R,FL-05,"January 3, 2003",,VBtEwpuI,133,BHdUdLMV
301,Michael Burgess,R,TX-26,"January 3, 2003",,HmTXB,100,fxBGnc
302,Dennis Cardoza,D,CA-18,"January 3, 2003",,jnvef,650,dqbfYp
303,John Carter,R,TX-31,"January 3, 2003",,HDBrjjF,680,kIjEMdYM
304,Tom Cole,R,OK-4,"January 3, 2003",,WNuflN,671,ZsukHGd
305,Artur Davis,D,AL-7,"January 3, 2003",,DBombxkv,704,LgEuwqza
306,Lincoln Davis,D,TN-4,"January 3, 2003",,SwcPDSTD,313,noROJ
307,Mario Diaz-Balart,R,FL-25,"January 3, 2003",,mYeqcMU,155,NAMJoSP
308,Rahm Emanuel,D,IL-05,"January 3, 2003","Democratic Caucus ChairmanResigned January 2, 2009",haniw,736,nOjpPSS
309,Tom Feeney,R,FL-24,"January 3, 2003",Left the House in 2009.,lwnaqcPL,338,tjjlt
310,Trent Franks,R,AZ-2,"January 3, 2003",,rcILeO,166,slzbpi
311,Scott Garrett,R,NJ-05,"January 3, 2003",,GeGcFcL,865,PzHcri
312,Jim Gerlach,R,PA-06,"January 3, 2003",,iQEwdts,597,HWxPTHPT
313,Phil Gingrey,R,GA-11,"January 3, 2003",,Pcqvpvv,430,pzaPgpV
314,Raúl Grijalva,D,AZ-7,"January 3, 2003",,IFdkm,379,LsDLd
315,Jeb Hensarling,R,TX-05,"January 3, 2003",,ZNVSPeO,435,lWDnfFvN
