Rank,Representative,Party,District,Seniority date,Notes
226,Brian Baird,D,WA-3,"January 3, 1999",
227,Tammy Baldwin,D,WI-2,"January 3, 1999",
228,Shelley Berkley,D,NV-1,"January 3, 1999",
229,Judy Biggert,R,IL-13,"January 3, 1999",
230,Mike Capuano,D,MA-08,"January 3, 1999",
231,Joe Crowley,D,NY-07,"January 3, 1999",
232,Charlie Gonzalez,D,TX-20,"January 3, 1999",
233,Robin Hayes,R,NC-08,"January 3, 1999",Left the House in 2009.
234,Rush D. Holt,D,NJ-12,"January 3, 1999",
235,Stephanie Tubbs Jones,D,OH-11,"January 3, 1999","Died August 20, 2008"
236,John Larson,D,CT-1,"January 3, 1999",
237,Gary Miller,R,CA-42,"January 3, 1999",
238,Dennis Moore,D,KS-3,"January 3, 1999",
239,Grace Napolitano,D,CA-38,"January 3, 1999",
240,Tom Reynolds,R,NY-26,"January 3, 1999",Left the House in 2009
241,Paul Ryan,R,WI-1,"January 3, 1999",Ranking member of the Budget Committee
242,Jan Schakowsky,D,IL-09,"January 3, 1999",
243,Mike Simpson,R,ID-2,"January 3, 1999",
244,Tom Tancredo,R,CO-6,"January 3, 1999",Left the House in 2009
245,Lee Terry,R,NE-2,"January 3, 1999",
246,Mike Thompson,D,CA-01,"January 3, 1999",
247,Mark Udall,D,CO-2,"January 3, 1999",Left the House in 2009
248,Tom Udall,D,NM-3,"January 3, 1999",Left the House in 2009
249,Greg Walden,R,OR-2,"January 3, 1999",
250,Anthony Weiner,D,NY-09,"January 3, 1999",
251,David Wu,D,OR-1,"January 3, 1999",
252,Joe Baca,D,CA-43,"November 16, 1999",
253,Jane Harman,D,CA-36,"January 3, 2001",Previously served from 1993 to 1999.
254,Todd Akin,R,MO-2,"January 3, 2001",
255,Henry Brown,R,SC-1,"January 3, 2001",
256,Eric Cantor,R,VA-07,"January 3, 2001",
257,Shelley Moore Capito,R,WV-2,"January 3, 2001",
258,William Lacy Clay,D,MO-1,"January 3, 2001",
259,Ander Crenshaw,R,FL-04,"January 3, 2001",
260,John Culberson,R,TX-07,"January 3, 2001",
261,Jo Ann Davis,D,VA-01,"January 3, 2001","Died October 6, 2007"
262,Susan Davis,D,CA-53,"January 3, 2001",
263,Mike Ferguson,R,NJ-07,"January 3, 2001",Left the House in 2009
264,Jeff Flake,R,AZ-6,"January 3, 2001",
265,Sam Graves,R,MO-6,"January 3, 2001",
266,Mike Honda,D,CA-15,"January 3, 2001",
267,Steve Israel,D,NY-02,"January 3, 2001",
268,Darrell Issa,R,CA-49,"January 3, 2001",
269,Timothy Johnson,R,IL-15,"January 3, 2001",
270,Ric Keller,R,FL-08,"January 3, 2001",Left the House in 2009.
