Rank,Representative,Party,District,Seniority date,Notes,Extra_Data_1
136,Albert Wynn,D,MD-4,"January 3, 1993","Resigned May 31, 2008",237
137,Bennie Thompson,D,MS-2,"April 13, 1993",Chair of the Homeland Security Committee,397
138,Sam Farr,D,CA-17,"June 8, 1993",,19
139,Vern Ehlers,R,MI-03,"December 7, 1993",Ranking member of the House Administration Committee,324
140,Frank Lucas,R,OK-3,"May 10, 1994",,327
141,Ron Lewis,R,KY-2,"May 24, 1994",Left the House in 2009,991
142,Steve Chabot,R,OH-01,"January 3, 1995",Ranking member of the Small Business Committee. Left the House in 2009.,494
143,Barbara Cubin,R,WY,"January 3, 1995",Left the House in 2009,549
144,Thomas Davis,R,VA-11,"January 3, 1995",Ranking member of the Oversight and Government Reform CommitteeLeft the House in 2009,160
145,Lloyd Doggett,D,TX-25,"January 3, 1995",,246
146,Mike Doyle,D,PA-14,"January 3, 1995",,282
147,Phil English,R,PA-03,"January 3, 1995",Left the House in 2009.,910
148,Chaka Fattah,D,PA-02,"January 3, 1995",,668
149,Rodney Frelinghuysen,R,NJ-11,"January 3, 1995",,812
150,Doc Hastings,R,WA-4,"January 3, 1995",Ranking member of the Ethics Committee,778
151,Sheila Jackson-Lee,D,TX-18,"January 3, 1995",,748
152,Walter B. Jones,R,NC-03,"January 3, 1995",,502
153,Patrick Kennedy,D,RI-1,"January 3, 1995",,628
154,Ray LaHood,R,IL-18,"January 3, 1995",Left the House in 2009,560
155,Tom Latham,R,IA-4,"January 3, 1995",,389
156,Steven LaTourette,R,OH-14,"January 3, 1995",,360
157,Frank LoBiondo,R,NJ-02,"January 3, 1995",,958
158,Zoe Lofgren,D,CA-16,"January 3, 1995",,121
159,Sue Myrick,R,NC-09,"January 3, 1995",,356
160,Charlie Norwood,R,GA-09,"January 3, 1995",Died 13 February 2007,349
161,George Radanovich,R,CA-19,"January 3, 1995",,565
162,John Shadegg,R,AZ-3,"January 3, 1995",,100
163,Mark Souder,R,IN-3,"January 3, 1995",,934
164,Mac Thornberry,R,TX-13,"January 3, 1995",,124
165,Todd Tiahrt,R,KS-4,"January 3, 1995",,948
166,Zach Wamp,R,TN-3,"January 3, 1995",,515
167,Dave Weldon,R,FL-15,"January 3, 1995",Left the House in 2009,301
168,Jerry Weller,R,IL-11,"January 3, 1995",Left the House in 2009,732
169,Ed Whitfield,R,KY-1,"January 3, 1995",,2
170,Roger Wicker,R,MS-1,"January 3, 1995","Resigned December 31, 2007",388
171,"Jesse Jackson, Jr.",D,IL-02,"December 12, 1995",,168
172,Juanita Millender-McDonald,D,CA-37,"March 26, 1996","Died April 22, 2007",341
173,Elijah Cummings,D,MD-7,"April 16, 1996",,542
174,Earl Blumenauer,D,OR-3,"May 21, 1996",,34
175,Jo Ann Emerson,R,MO-8,"November 5, 1996",,567
176,David Price,D,NC-04,"January 3, 1997",Previously served from 1987 to 1995.,774
177,Ron Paul,R,TX-14,"January 3, 1997",Previously served from 1976 to 1977 and from 1979 to 1985.,929
178,Robert Aderholt,R,AL-4,"January 3, 1997",,265
179,Tom Allen,D,ME-1,"January 3, 1997",Left the House in 2009,342
180,Marion Berry,D,AR-1,"January 3, 1997",,872
