Rank,Representative,Party,District,Seniority date,Notes
1,John Dingell,D,MI-15,"December 13, 1955",Dean of the House
2,John Conyers,D,MI-14,"January 3, 1965",Chair of the Judiciary CommitteeDean of the Congressional Black Caucus
3,Dave Obey,D,WI-7,"April 1, 1969",Chair of the Appropriations Committee
4,Charles B. Rangel,D,NY-15,"January 3, 1971",Chair of the Ways and Means Committee
5,Bill Young,R,FL-10,"January 3, 1971",
6,Ralph Regula,R,OH-16,"January 3, 1973",Left the House in 2009
7,Pete Stark,D,CA-13,"January 3, 1973",
8,Don Young,R,AK,"March 6, 1973",Ranking member of the Natural Resources Committee
9,John Murtha,D,PA-12,"February 5, 1974",
10,George Miller,D,CA-07,"January 3, 1975",Chair of the Education and Labor Committee
11,James Oberstar,D,MN-8,"January 3, 1975",Chair of the Transportation and Infrastructure Committee
12,Henry Waxman,D,CA-30,"January 3, 1975",Chair of the Energy and Commerce Committee
13,Ed Markey,D,MA-07,"November 2, 1976",Chair of the Select Committee on Energy Independence and Global Warming
14,Norm Dicks,D,WA-6,"January 3, 1977",
15,Dale Kildee,D,MI-05,"January 3, 1977",
16,Nick Rahall,D,WV-3,"January 3, 1977",Chair of the Natural Resources Committee
17,Ike Skelton,D,MO-4,"January 3, 1977",Chair of the Armed Services Committee
18,Jerry Lewis,R,CA-41,"January 3, 1979",Ranking member of the Appropriations Committee
19,James Sensenbrenner,R,WI-5,"January 3, 1979",Ranking member of the Select Committee on Energy Independence and Global Warming
20,Tom Petri,R,WI-6,"April 3, 1979",
21,David Dreier,R,CA-26,"January 3, 1981",Ranking member of the Rules Committee
22,Barney Frank,D,MA-04,"January 3, 1981",Chair of the Financial Services Committee
23,Ralph Hall,R,TX-04,"January 3, 1981",Ranking member of the Science and Technology Committee
24,Duncan Hunter,R,CA-52,"January 3, 1981",Ranking member of the Armed Services CommitteeLeft the House in 2009
25,Tom Lantos,D,CA-12,"January 3, 1981","Died February 11, 2008"
26,Hal Rogers,R,KY-5,"January 3, 1981",
27,Christopher Smith,R,NJ-04,"January 3, 1981",
28,Frank Wolf,R,VA-10,"January 3, 1981",
29,Steny Hoyer,D,MD-5,"May 19, 1981",Majority Leader
30,Howard Berman,D,CA-28,"January 3, 1983",Chair of the Foreign Affairs Committee
31,Rick Boucher,D,VA-09,"January 3, 1983",
32,Dan Burton,R,IN-5,"January 3, 1983",
33,Marcy Kaptur,D,OH-09,"January 3, 1983",Senior Woman in the US House of Representatives
34,Sander Levin,D,MI-12,"January 3, 1983",
35,Alan Mollohan,D,WV-1,"January 3, 1983",
36,Solomon Ortiz,D,TX-27,"January 3, 1983",Dean of the Congressional Hispanic Caucus
37,John Spratt,D,SC-5,"January 3, 1983",Chair of the Budget Committee
38,Ed Towns,D,NY-10,"January 3, 1983",Chair of the Oversight and Government Reform Committee
39,Gary Ackerman,D,NY-05,"March 1, 1983",
40,Jim Saxton,R,NJ-03,"November 6, 1984",Left the House in 2009
41,Joe Barton,R,TX-06,"January 3, 1985",Ranking member of the Energy and Commerce Committee
42,Howard Coble,R,NC-06,"January 3, 1985",
43,Bart Gordon,D,TN-6,"January 3, 1985",Chair of the Science and Technology Committee
44,Paul Kanjorski,D,PA-11,"January 3, 1985",
45,Peter Visclosky,D,IN-1,"January 3, 1985",
