,Name,Nation,Points,Games,Pts/game,Random_Column_1,Dummy_Col_2,Irrelevant_3
1,Karen Andrew,England,44,5,8.8,1U3YJnnx,EMTPA,RuOH6
2,Daniella Waterman,England,40,5,8,zLAaEUE,YHRpeu,1CzBpwD
3,Christelle Le Duff,France,33,5,6.6,ldLPY8r,hvfIrfz,kWJCFqw
4,Charlotte Barras,England,30,5,6,n9cuG,iPMYENEJ,CGt9s6
5,Naomi Thomas,Wales,25,5,5,Btf3US,qEnQROLj,27IxNc0o
6,Susan Day,England,20,5,4,Wu1HLAC,KoWrzEFV,4zQ70cLF
7,Lucy Millard,Scotland,20,5,4,gTWVIl0,qmpKJ,8NNvPc
8,Veronica Schiavon,Italy,19,4,4.75,jOCJ9T,mYLfhA,s03DKns
9,Estelle Sartini,France,17,5,3.4,tt7RG,FvfyBj,goXQ4
10,Margaret Alphonsie,England,15,5,3,n6poO2hq,riCMt,RxYFOk
