Rank,Bib,Athlete,Country,Time,Deficit
34,15,Jens Filbrich,Germany,1:14:28.6,+1:19.3
35,53,Yevgeniy Velichko,Kazakhstan,1:14:35.7,+1:26.4
36,30,Valerio Checchi,Italy,1:14:57.6,+1:48.3
37,38,Mathias Wibault,France,1:15:02.1,+1:52.8
38,33,Martin Bajčičák,Slovakia,1:15:25.7,+2:16.4
39,51,Andrew Musgrave,Great Britain,1:15:33.4,+2:24.1
40,47,Tero Similä,Finland,1:15:35.1,+2:25.8
41,28,Kris Freeman,United States,1:15:44.3,+2:35.0
42,50,Paul Constantin Pepene,Romania,1:15:45.2,+2:35.9
43,27,Noah Hoffman,United States,1:15:58.5,+2:49.2
44,45,Mark Starostin,Kazakhstan,1:16:21.8,+3:12.5
