Rank,Bib,Athlete,Country,Time,Deficit,Unused_1,Random_Column_2,Noise_Field_3
,1,Dario Cologna,Switzerland,1:13:09.3,,,atPqdPic,epabNXB
,14,Martin Johnsrud Sundby,Norway,1:13:11.1,+1.8,,yCalcoF,pnjIsH
,5,Sjur Røthe,Norway,1:13:11.3,+2.0,,QHvd1,iJLfv
4,4,Petter Northug,Norway,1:13:14.5,+5.2,,QDbmyb3,pxZYkp
5,6,Maxim Vylegzhanin,Russia,1:13:15.4,+6.1,,r5RDBB,eEjhZPKD
6,2,Alexander Legkov,Russia,1:13:19.4,+10.1,,ebuHKeXw,Xrtde
7,20,Calle Halfvarsson,Sweden,1:13:20.9,+11.6,,kTZts,huLEceYf
8,7,Marcus Hellner,Sweden,1:13:21.3,+12.0,,rz1iSS88,ZjZIXe
9,8,Tobias Angerer,Germany,1:13:21.7,+12.4,,h3CMePTY,wqIgIHk
10,22,Jean-Marc Gaillard,France,1:13:22.0,+12.7,,t9bhn0,qExuLih
11,9,Evgeniy Belov,Russia,1:13:22.3,+13.0,,M4VWK42P,qTZnkMM
